	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GNG11	2.01853144002467e-117	0.827723768328015	0.551	0.065	3.78171865288623e-113
SDC2	2.09890845864524e-102	0.817206133326066	0.438	0	3.93230499727185e-98
MZB1	1.17453588749174e-100	0.801072103416196	0.859	0.585	2.20049298521577e-96
ALOX5	2.29132693072729e-121	0.799167386999682	0.529	0.039	4.29280100471759e-117
DDAH2	2.51679342492775e-103	0.790678029825867	0.748	0.353	4.71521248160214e-99
SLC35E3	3.9879391696764e-92	0.789690881778965	0.575	0.168	7.47140403438873e-88
IDI1	9.94412186341188e-102	0.783161925677297	0.745	0.375	1.86303123111022e-97
HLA-DQB1	3.10777371989565e-69	0.782764423940593	0.758	0.534	5.8224140642245e-65
UHRF1	5.57143044479332e-53	0.759912865024847	0.822	0.648	1.04380749383203e-48
DPEP1	2.06813678392783e-96	0.755808140733009	0.427	0.006	3.87465426468879e-92
ISG20	3.83098372063647e-90	0.752171957580021	0.589	0.178	7.17734800061243e-86
VAMP5	6.41872913767164e-107	0.750908777060993	0.595	0.139	1.20254890394278e-102
MME	4.46223229464389e-81	0.744601102373988	0.702	0.359	8.35999220401534e-77
CD27	5.24796005020556e-88	0.73802170923525	0.44	0.037	9.83205315406012e-84
FYB	1.35133951785412e-96	0.733834346500528	0.47	0.043	2.53173458669969e-92
PTP4A3	5.87147824603489e-103	0.727589540798672	0.485	0.042	1.10002144939464e-98
RCSD1	6.66941313926536e-97	0.723287148680556	0.936	0.776	1.24951455164136e-92
BANK1	3.50079985579853e-86	0.722918310770363	0.508	0.105	6.55874852983854e-82
FTL	7.80159765918879e-106	0.720545144837084	0.979	0.912	1.46162932144902e-101
TCL1A	4.76245597193329e-72	0.717107533784207	0.97	0.644	8.92246126341703e-68
ZNF428	1.94548079517418e-91	0.708339602223402	0.66	0.282	3.64485826975883e-87
CPNE2	8.68042733479362e-98	0.708334095143985	0.465	0.037	1.62627806117359e-93
HLA-E	6.94945517442748e-88	0.703471415055807	0.911	0.7	1.30198042692899e-83
LEF1	1.73326318490488e-56	0.695756173577174	0.68	0.407	3.24726857691929e-52
C5orf56	8.44576342372728e-87	0.688837473955832	0.549	0.139	1.58231377743531e-82
CYBA	1.00309154651623e-91	0.685435839795066	0.91	0.777	1.87929201239816e-87
HIST2H2BE	1.07729210906947e-74	0.684896311829644	0.445	0.077	2.01830676634166e-70
HHEX	1.8971846356685e-87	0.684656459148362	0.512	0.107	3.55437541492493e-83
CMTM3	3.53613358928901e-101	0.678929690786637	0.467	0.031	6.62494627953296e-97
DUSP6	1.8412747449582e-65	0.677218963478084	0.491	0.151	3.44962823467919e-61
NRN1	2.88161542859588e-79	0.672006979160274	0.365	0	5.39870650547437e-75
LAIR1	1.25309334935228e-81	0.671436801338866	0.555	0.166	2.3476703900115e-77
LINC01013	5.66696411628142e-83	0.667247444542888	0.483	0.079	1.06170572718532e-78
HLA-A	8.72585201814525e-74	0.65856427465236	0.933	0.797	1.63478837559951e-69
FTH1	1.14459692547269e-133	0.640960464133731	0.998	0.982	2.14440233987309e-129
UBC	3.3251616701289e-85	0.640064494820291	0.975	0.896	6.2296903889865e-81
CLIC1	1.46330977669358e-68	0.633290590641439	0.845	0.657	2.74151086663541e-64
ERG	3.96055283298964e-75	0.629974150899609	0.459	0.089	7.42009573260609e-71
ZCCHC7	1.81989391463743e-57	0.622931905500395	0.729	0.482	3.40957124907323e-53
PRKCB	4.9346554414342e-69	0.618383793758495	0.61	0.269	9.24507696952696e-65
C1QTNF4	3.32442894231674e-56	0.611229261924035	0.352	0.052	6.22831762343042e-52
AP005530.2	2.87729453009334e-86	0.610884829304557	0.386	0	5.39061130212988e-82
H3F3B	5.1156551903639e-86	0.605552712023469	1	0.996	9.58417999914677e-82
MT-ND2	1.30844712268071e-40	0.605507539432994	0.981	0.953	2.45137568434231e-36
HLA-DRB5	4.19678459803289e-27	0.605077694436826	0.447	0.248	7.86267594441463e-23
YBX3	1.25462865661334e-49	0.602680830206117	0.721	0.455	2.35054678816509e-45
HLA-DMB	4.45195045048405e-69	0.601220251154118	0.586	0.236	8.34072916898187e-65
HACD1	4.01541373769795e-79	0.600413165808636	0.394	0.024	7.52287763757711e-75
ARPP21	8.63608285242139e-49	0.600301446001192	0.533	0.251	1.61797012240115e-44
CD53	5.64295676216867e-67	0.597633894496008	0.73	0.448	1.0572079493923e-62
TSC22D4	8.91943035826166e-71	0.597511956071838	0.566	0.217	1.67105527762032e-66
TKT	5.20797875567711e-56	0.59368145875529	0.722	0.472	9.75714819876107e-52
DBN1	1.70614090462153e-72	0.591346002009258	0.471	0.113	3.19645498480844e-68
SMIM3	2.44029169915272e-59	0.581472320852888	0.409	0.091	4.57188649836262e-55
WASF2	4.03592574627951e-54	0.579109509904569	0.688	0.424	7.56130688565465e-50
TXNIP	2.53146503762544e-47	0.577375791193337	0.606	0.344	4.74269974799126e-43
EEF2	3.61733244658032e-76	0.575736297451791	0.974	0.92	6.77707233866824e-72
FKBP8	7.94616662960898e-69	0.572005029243547	0.554	0.206	1.48871431805724e-64
EIF4A2	1.95320933765663e-68	0.566119949789626	0.886	0.697	3.6593376940997e-64
SEPT9	1.56821908984611e-50	0.566019314833077	0.674	0.43	2.93805846482669e-46
CYGB	9.41682840660838e-50	0.563487576337361	0.355	0.071	1.76424280197808e-45
HBG2	4.21675912418978e-27	0.561122181291143	0.321	0.139	7.90009821916955e-23
AC008060.7	6.18034906393197e-74	0.558818498986454	0.349	0.003	1.15788839712766e-69
SNRPN	1.22228537956999e-69	0.558118127484485	0.52	0.163	2.28995165862438e-65
LINC00958	5.97627270558361e-81	0.554549795317228	0.373	0.004	1.11965469139109e-76
BST2	2.70406896084962e-58	0.553433305115071	0.553	0.227	5.06607319815176e-54
PLIN3	2.31910774288156e-56	0.552451720220994	0.544	0.228	4.3448483562886e-52
ECM1	2.8409031920045e-72	0.549525272470487	0.347	0.006	5.32243213022044e-68
GRINA	8.7951328361269e-73	0.546912326059738	0.391	0.04	1.64776813684837e-68
GSN	4.05496169837748e-60	0.539191775769115	0.354	0.045	7.59697074191021e-56
CBFA2T3	1.7962136840078e-68	0.53563948935628	0.412	0.068	3.36520633698861e-64
ELK3	2.12499636468618e-67	0.53543383047947	0.407	0.065	3.98118068923955e-63
GPSM3	1.91928447199011e-58	0.531972813341679	0.581	0.269	3.59577945827347e-54
PCLO	1.26406721825818e-67	0.529943810174422	0.323	0	2.36822993340671e-63
TPM3	3.09286361294714e-53	0.528694483145272	0.762	0.55	5.79447997885646e-49
TPM4	1.03968283836983e-48	0.52065782895748	0.6	0.325	1.94784579768587e-44
TRPM4	2.92910030874784e-56	0.51991157771268	0.295	0.01	5.48766942843907e-52
ENG	2.02229831188312e-60	0.519760582156774	0.383	0.068	3.78877588731302e-56
LPAR6	2.89918670051975e-60	0.516581945118208	0.302	0.004	5.43162628342376e-56
H1FX	2.54580311471161e-29	0.514140466525725	0.79	0.682	4.76956213541219e-25
PCDH9	1.50614179049093e-32	0.511276682562039	0.514	0.292	2.82175664448476e-28
ISG15	3.7615939037758e-27	0.511037639233774	0.432	0.228	7.04734617872397e-23
IRF7	2.93709140513587e-46	0.510648858463461	0.43	0.151	5.50264074752206e-42
TMSB4X	3.47359399547843e-83	0.510633508056198	1	1	6.50777835052884e-79
ID3	2.92571801292663e-20	0.50895414413932	0.427	0.267	5.48133269721805e-16
SEPT6	5.54978577370703e-51	0.505486616668584	0.746	0.525	1.03975236470401e-46
TRAF3IP2	2.98537525482174e-65	0.502716942302396	0.348	0.025	5.59310053990853e-61
CRMP1	2.96292300534128e-57	0.502046705578853	0.297	0.009	5.5510362505069e-53
PSME2	1.66776637905589e-49	0.501856527698269	0.766	0.547	3.12456031116121e-45
GNG7	1.12328540171463e-47	0.499813013428727	0.634	0.389	2.10447520011236e-43
ADGRE5	4.69988184161393e-47	0.499217819753551	0.347	0.079	8.8052286302637e-43
KLF2	1.26753776427871e-16	0.495624517619609	0.446	0.32	2.37473200137617e-12
DUSP1	2.23463467666483e-34	0.494585616499451	0.897	0.757	4.18658806673156e-30
HLA-DQA2	1.82062739279521e-46	0.490314233429966	0.254	0.009	3.41094542040183e-42
PAG1	1.1046840322316e-45	0.485306969742973	0.59	0.303	2.0696255343859e-41
S100A16	2.43931275774706e-48	0.485188297278398	0.248	0	4.57005245163912e-44
BIRC7	2.6524589369729e-61	0.484127687018618	0.299	0	4.96938181841873e-57
AK1	1.43498434377678e-54	0.481978441807601	0.307	0.022	2.6884431680658e-50
ABHD3	4.19486466300724e-49	0.481578973202876	0.49	0.2	7.85907894614406e-45
KCNN1	3.61061205735904e-67	0.479455101963793	0.324	0.003	6.76448168946216e-63
MTCH1	1.05720316292939e-54	0.477539713488904	0.495	0.187	1.98067012574821e-50
ABRACL	2.25267341954645e-46	0.477107984766532	0.657	0.392	4.22038365152027e-42
TGFB1	1.11002285388226e-57	0.475779871601559	0.36	0.056	2.07962781674842e-53
PRMT1	6.68701611770071e-48	0.474723056634716	0.551	0.27	1.25281246965123e-43
TSPAN7	1.24457438197776e-58	0.470430167994084	0.322	0.024	2.33171010463533e-54
UBE2L6	3.73614421476697e-44	0.464825688900998	0.539	0.272	6.99966618636591e-40
GNA15	2.6282892622781e-53	0.464457103961801	0.335	0.049	4.92409993287803e-49
FADS3	5.59736606906479e-56	0.462193724456596	0.396	0.089	1.04866653303929e-51
NCF4	7.00335393702537e-47	0.460248684262084	0.446	0.168	1.3120783601017e-42
RSRP1	8.00934541071275e-47	0.458291828895625	0.474	0.188	1.50055086269703e-42
CD69	3.58684501845216e-14	0.456898138591112	0.544	0.407	6.71995414207013e-10
TUBA1A	3.33078099297848e-27	0.454338854409648	0.816	0.714	6.24021819034518e-23
GSTP1	1.86299737963658e-43	0.452880618158687	0.758	0.484	3.49032559074913e-39
PSME1	1.0638171872996e-49	0.45177196362778	0.904	0.801	1.9930615004058e-45
NARFL	7.96071042832044e-57	0.450666687680365	0.368	0.064	1.49143909874583e-52
ADRBK1	7.64983285103501e-42	0.448228980542035	0.434	0.175	1.43319618464141e-37
EMC10	8.71074740785609e-49	0.447204440792538	0.442	0.154	1.63195852686184e-44
VPS28	1.40697139652506e-42	0.447015054720835	0.553	0.301	2.6359609113897e-38
CALM1	2.57873583541693e-33	0.446672882339428	0.792	0.69	4.83126158765361e-29
RAB5C	7.32076756132709e-50	0.446654797130808	0.509	0.212	1.37154580261463e-45
CD63	5.37108614871021e-43	0.445595317168499	0.44	0.174	1.00627298996086e-38
GRAMD1A	2.65231840125568e-51	0.445421957896223	0.412	0.119	4.96911852475252e-47
WSB1	2.15469544451531e-38	0.442998898566833	0.616	0.372	4.03682191529944e-34
VAMP2	2.36912113253938e-43	0.442511527065851	0.673	0.421	4.43854844181254e-39
RP3-380B8.4	5.63602182149233e-41	0.440914276024125	0.216	0	1.05590868825659e-36
LYL1	7.58025177219099e-41	0.437088010183687	0.469	0.209	1.42016016951998e-36
AGPAT2	3.08807230008132e-52	0.436700630916983	0.35	0.064	5.78550345420236e-48
ARPC1B	1.2983320086382e-42	0.436056938694592	0.616	0.355	2.43242501818366e-38
RAG1	6.23134672945641e-46	0.435664316638313	0.334	0.068	1.16744280976366e-41
CD200	7.74398362291376e-49	0.435005488067801	0.362	0.082	1.45083533175289e-44
PBXIP1	5.26024847213696e-43	0.432574026099473	0.391	0.129	9.8550755125486e-39
RP11-231E4.2	5.15840879076684e-49	0.432004068818288	0.251	0	9.66427886950168e-45
IFITM3	1.02604824883626e-36	0.430112231084571	0.391	0.147	1.92230139419473e-32
LY6E	4.29655478578744e-27	0.429823287635085	0.428	0.227	8.04959539117277e-23
PNISR	6.29558831409985e-40	0.429287690143485	0.822	0.654	1.17947847064661e-35
MSH6	3.28812755598688e-41	0.429271920576807	0.427	0.166	6.16030697614141e-37
MT-ND3	2.15795965835092e-35	0.427820512277439	0.98	0.972	4.04293741992045e-31
MYADM	1.93872246455665e-30	0.427652039196981	0.53	0.304	3.63219653734689e-26
SOX11	7.38700883184221e-49	0.424559663173823	0.25	0	1.38395610464564e-44
KLF6	7.67950216979232e-17	0.424557755104803	0.565	0.432	1.43875473151059e-12
SLC27A3	3.41005752429123e-54	0.424123210638642	0.311	0.028	6.38874277175962e-50
RP11-251M1.1	3.6867068175708e-45	0.420942853902756	0.25	0.01	6.90704522271889e-41
MYO1G	1.8300920411831e-43	0.420401686081346	0.363	0.101	3.42867743915654e-39
MSN	4.37905046268389e-39	0.418902188988534	0.476	0.226	8.20415104183827e-35
CMTM7	7.98490689746024e-31	0.416607138221441	0.742	0.58	1.49597230723918e-26
LAPTM4A	1.58153220165051e-40	0.416557497631009	0.633	0.384	2.96300057979223e-36
SMAD1	1.61228736327712e-32	0.416388097370165	0.285	0.077	3.02062037509969e-28
CD24	1.5661212946692e-30	0.41453525829024	0.94	0.847	2.93412824556275e-26
NEAT1	5.57365740733558e-31	0.413848464540756	0.562	0.337	1.04422471526432e-26
ACSS1	3.00530034939837e-44	0.412575908950052	0.396	0.128	5.63043020459785e-40
PDIA6	2.10800129532595e-30	0.410663797068719	0.679	0.503	3.94934042679316e-26
IFI16	5.72962660531771e-30	0.409461057824409	0.717	0.528	1.07344554450627e-25
PHYH	3.09524302374245e-37	0.408519525140727	0.268	0.047	5.79893780498148e-33
PRSS2	1.11751316131124e-09	0.408218679340306	0.063	0.006	2.0936609077166e-05
SH3GLB2	1.58179020586807e-45	0.407781288535598	0.286	0.034	2.96348395069382e-41
CD19	2.817279941162e-35	0.407142393921564	0.584	0.346	5.278173969767e-31
GMFG	5.36675393457935e-37	0.404295818983881	0.89	0.777	1.00546134964344e-32
BIN1	2.6900991227773e-46	0.402311109232841	0.325	0.062	5.03990070652327e-42
DPP7	9.53132360375582e-40	0.401055608592845	0.435	0.18	1.78569347716365e-35
PDLIM7	7.35477511929127e-42	0.399915505992651	0.33	0.08	1.37791711859922e-37
MT-ATP6	8.00244603872681e-36	0.399652821379351	0.981	0.963	1.49925826535547e-31
STK32B	5.27375578108758e-51	0.398735336628813	0.289	0.021	9.88038145586758e-47
MLLT11	6.37128235205474e-40	0.397303226993897	0.357	0.11	1.19365974865745e-35
SUN2	7.8655299582252e-35	0.396691575851442	0.478	0.236	1.47360703767349e-30
DRAM1	9.91244286100981e-49	0.396688705454084	0.269	0.013	1.85709617001019e-44
SELL	6.09964166349073e-28	0.394966005381112	0.367	0.156	1.14276786565499e-23
ACAP1	1.08069497384946e-40	0.394786615896928	0.381	0.125	2.02468203350697e-36
INTS3	2.85483223976576e-38	0.391963760357016	0.291	0.061	5.34852820120115e-34
TMBIM6	1.30377711514432e-33	0.391557270210733	0.699	0.499	2.44262642522289e-29
NEIL1	9.15875486482516e-37	0.390598194684688	0.325	0.092	1.71589272392499e-32
HIST1H2BK	1.43686474574405e-29	0.39041996715141	0.241	0.052	2.69196610115148e-25
ECH1	7.08397475731603e-37	0.390051579971763	0.541	0.3	1.32718267078316e-32
ARRB2	8.75929566519567e-40	0.390022616613813	0.385	0.132	1.64105404287441e-35
ATP6V0E1	6.62905564327605e-37	0.388325662152498	0.535	0.297	1.24195357476777e-32
LILRA2	7.37891278584042e-46	0.38786685851636	0.304	0.047	1.3824393104272e-41
GNB2	5.36341749032516e-35	0.387562552526932	0.517	0.283	1.00483626681242e-30
HDAC7	2.57376866071027e-40	0.387282822238548	0.376	0.123	4.82195558584069e-36
GNAI2	1.6216723983247e-35	0.386689851456789	0.494	0.254	3.03820323826132e-31
RPS19	3.0177146399837e-46	0.385051603447579	1	1	5.65368837800945e-42
RAD23A	1.84431407767525e-36	0.384982869040149	0.493	0.246	3.45532242452458e-32
MX1	5.05738557237409e-23	0.384582656133707	0.405	0.214	9.47501186984286e-19
CIRBP	1.23505314111456e-31	0.381288466718117	0.882	0.81	2.31387205987813e-27
SHISA5	1.02624128593396e-36	0.379976282269594	0.391	0.153	1.92266304919727e-32
FAM212A	2.25431466562175e-45	0.379586796507318	0.3	0.045	4.22345852604234e-41
GUK1	6.22737552062008e-30	0.374845711357742	0.672	0.484	1.16669880378817e-25
RP11-14N7.2	1.09556608709563e-46	0.37461167754873	0.282	0.028	2.05254306417367e-42
TBCB	3.13757546057022e-33	0.373647953682285	0.501	0.272	5.8782476253783e-29
ARF1	9.00834278944024e-30	0.373084855990408	0.652	0.466	1.68771302160163e-25
PFKL	1.08924283433267e-31	0.373061058382975	0.503	0.279	2.04069645012225e-27
PHB	2.86947853856496e-33	0.372822170737851	0.492	0.261	5.37596804200145e-29
UBA7	4.27669723101892e-41	0.372115501451254	0.32	0.074	8.01239226231395e-37
COPE	2.14531659928228e-31	0.371343478978192	0.72	0.537	4.01925064875535e-27
CKLF	9.48636081830335e-29	0.371331095461487	0.469	0.258	1.77726969930913e-24
GIMAP4	1.79691247030729e-40	0.370865863824881	0.255	0.027	3.3665155131207e-36
C6orf48	1.83419429645029e-26	0.370070890477424	0.728	0.571	3.43636301439962e-22
RP11-356I2.4	1.03155119606847e-34	0.3696306036302	0.285	0.067	1.93261116583427e-30
SNX17	7.66177811748912e-34	0.369487964100383	0.46	0.227	1.43543413031159e-29
PYCARD	1.8981088886055e-31	0.369308181889021	0.435	0.214	3.55610700280241e-27
HLA-DOA	3.25019195570864e-44	0.36886099567901	0.285	0.037	6.08923462902014e-40
ZFP36L1	3.57955623453945e-20	0.367670322859325	0.553	0.386	6.70629860540967e-16
RNPS1	1.02509235071825e-29	0.367530337170197	0.642	0.451	1.92051051907064e-25
MYL6	1.58810202830838e-39	0.367200429673137	0.96	0.944	2.97530915003574e-35
ICAM2	9.56239862222912e-38	0.367175916219577	0.331	0.093	1.79151538187462e-33
FXYD5	6.11586292439504e-26	0.366698331536777	0.533	0.347	1.14580691888541e-21
ERGIC1	4.91660116275026e-29	0.366273405419942	0.608	0.407	9.21125227841261e-25
TAPBP	2.8059070816531e-30	0.366166551432961	0.496	0.28	5.25686691747709e-26
ETS2	9.41667490608233e-29	0.365837550416274	0.424	0.212	1.76421404365453e-24
ORAI2	1.06787141452612e-33	0.364294639029683	0.354	0.128	2.00065709511469e-29
SSBP2	1.24606265712137e-25	0.363929264113403	0.731	0.579	2.33449838811689e-21
PCCA	3.18268524423392e-39	0.363569111816296	0.222	0.009	5.96276080507226e-35
B2M	1.16840282623979e-62	0.363233156577947	1	1	2.18900269496025e-58
FHIT	9.08440540366374e-37	0.363183280863734	0.439	0.178	1.7019633523764e-32
PSAP	2.54637860400628e-36	0.363162465131906	0.435	0.188	4.77064031460577e-32
SNRNP70	3.08718910563804e-30	0.362243990596819	0.562	0.347	5.78384878941287e-26
APRT	8.12435744468401e-25	0.361264329227665	0.56	0.38	1.52209836726155e-20
CYTH4	1.62948711152234e-41	0.360455563248862	0.254	0.024	3.0528441034371e-37
PRDX1	5.18470481630499e-19	0.360302903245264	0.856	0.804	9.7135444733474e-15
LAT2	1.15930029471175e-17	0.360189940971929	0.616	0.497	2.17194910214247e-13
P4HB	2.83035556314033e-31	0.360179578850471	0.492	0.267	5.30267114754341e-27
MAF1	2.169122110595e-32	0.359462429266214	0.499	0.274	4.06385027419974e-28
HLA-F	2.47583422519024e-32	0.357148033150248	0.349	0.131	4.63847542089392e-28
TSPAN14	1.26645692074516e-34	0.356884429801434	0.414	0.174	2.37270704101606e-30
BORCS7	3.87525695823164e-34	0.35452590630295	0.398	0.165	7.26029391124698e-30
TNFRSF21	2.33980205080801e-33	0.354150805893267	0.299	0.082	4.3836191421888e-29
SYNGR1	6.97641217449505e-33	0.352634682387877	0.399	0.165	1.30703082089165e-28
GSTK1	4.99421028317486e-31	0.352425571551808	0.441	0.217	9.35665296552809e-27
CSRP2	1.21363695037697e-40	0.35005185542245	0.264	0.033	2.27374882653126e-36
ARL16	2.0136120763955e-33	0.348326435360301	0.339	0.117	3.77250222512696e-29
SERINC5	7.11747465136109e-34	0.348026254535466	0.327	0.102	1.3334588759325e-29
CHCHD10	4.289569603959e-28	0.347708096836812	0.35	0.148	8.03650865301719e-24
CNN2	1.64081487596871e-35	0.347671096766685	0.28	0.061	3.07406667012737e-31
AP2M1	1.96723373085148e-28	0.347645728951892	0.592	0.396	3.68561239475024e-24
FAM26F	1.90463530615927e-26	0.347071279099813	0.469	0.257	3.56833424608939e-22
MLF2	1.81112983733804e-34	0.346796322628018	0.424	0.181	3.39315175025281e-30
FHL1	2.56640999445341e-32	0.34677772619084	0.383	0.157	4.80816912460846e-28
TPI1	3.42607564365332e-17	0.344843990457593	0.593	0.458	6.41875271838449e-13
BAX	6.55900717286755e-25	0.343646283105588	0.537	0.337	1.22882999383674e-20
MAGED2	1.24273655250686e-36	0.34337470459281	0.31	0.082	2.32826693112161e-32
HAP1	1.47816411328976e-40	0.342244658103857	0.221	0.004	2.76934046624836e-36
HN1	7.08688054630822e-14	0.341751061789402	0.501	0.365	1.32772707035085e-09
FSCN1	2.62953391977534e-39	0.338220100245292	0.217	0.006	4.92643179869909e-35
IL2RG	1.85672931720209e-29	0.338047076379789	0.339	0.132	3.47858237577812e-25
IGF2BP1	7.56120767688202e-44	0.337745445036545	0.23	0.001	1.41659225826385e-39
THEMIS2	8.69332515983613e-39	0.336657029261881	0.264	0.039	1.6286944686953e-34
MFSD10	6.05746101560681e-40	0.335676745166919	0.254	0.028	1.13486532127394e-35
WBP1L	1.73446629149389e-39	0.334773859049832	0.261	0.034	3.2495225971138e-35
COMT	3.14089361530002e-30	0.334202437904508	0.406	0.185	5.88446418826459e-26
ERV3-1	1.1919524485223e-32	0.333961042841572	0.342	0.12	2.23312291230653e-28
EIF1	2.37441129554692e-28	0.331750910188994	0.996	0.997	4.44845956220716e-24
RP11-18H21.1	1.06025882581387e-35	0.331242673666654	0.23	0.025	1.98639491016229e-31
VAV1	3.02728367349816e-35	0.329724417007287	0.301	0.079	5.67161596229881e-31
PRR13	7.60721614025392e-23	0.32931287527004	0.62	0.457	1.42521194387657e-18
CMTM2	3.92569148412082e-36	0.326641070790768	0.198	0.003	7.35478299550036e-32
CNPY3	4.97306092392954e-26	0.326392413702928	0.487	0.282	9.317029640982e-22
IFITM2	3.66454507088253e-16	0.3262803795991	0.523	0.393	6.86552519029842e-12
XRCC6	6.19038396620416e-23	0.326139199556379	0.651	0.485	1.15976843606835e-18
CMTM6	1.40984350680874e-23	0.325086360627794	0.531	0.346	2.64134181000618e-19
ZFP36	3.26066908139403e-13	0.324851454103496	0.459	0.329	6.10886352399172e-09
TRABD	9.87384990154636e-20	0.324247728107536	0.651	0.496	1.84986577905471e-15
NMT2	8.86932111884745e-32	0.323244726982336	0.286	0.079	1.66166731161607e-27
CHD9	6.6333015559743e-24	0.322998315926929	0.523	0.329	1.24274904651179e-19
EXOC7	1.08731865608846e-33	0.322903646017158	0.325	0.102	2.03709150218173e-29
TAF7	1.0477805453177e-22	0.322425562580296	0.644	0.475	1.96301685165271e-18
LINC00426	6.71312024012437e-32	0.322364803967169	0.276	0.07	1.2577030769873e-27
SEMA6A	3.5348374038908e-41	0.321051070908249	0.225	0.006	6.62251787618941e-37
PKN1	5.95231502870557e-33	0.320557512285777	0.305	0.091	1.11516622062799e-28
POLR2J3	1.0765950421982e-18	0.318968391145885	0.517	0.364	2.01700081155833e-14
CD58	9.29853415264939e-31	0.318966975593078	0.273	0.073	1.74208037349886e-26
VGLL4	1.09388865047902e-32	0.318791107219413	0.309	0.093	2.04940038667245e-28
BLCAP	5.91089804302836e-32	0.318104240935786	0.276	0.071	1.10740674836136e-27
HPCAL1	2.2944335861355e-30	0.316696375210467	0.318	0.11	4.29862132362487e-26
TRH	1.72178430279424e-26	0.316522247603751	0.154	0.004	3.22576289128501e-22
