source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
Cytotoxic NK/T cells	B progenitor cells 5	BMP2	BMPR1B_ACVR2A	2.27563055460253e-09	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	B progenitor cells 5	BMP2	BMPR1B_ACVR2A	5.59971602085178e-09	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Cytotoxic NK/T cells	BMP2	BMPR1B_ACVR2A	1.58197717348665e-09	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Cytotoxic NK/T cells	BMP2	BMPR1B_ACVR2A	6.85164944128995e-10	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	Cytotoxic NK/T cells	BMP2	BMPR1B_ACVR2A	1.68600694460769e-09	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Naive T cells	BMP2	BMPR1B_ACVR2A	3.84386762317247e-09	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Naive T cells	BMP2	BMPR1B_ACVR2A	1.66480485458509e-09	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	B progenitor cells 5	BMP2	BMPR1B_ACVR2B	2.20734023164106e-08	0	BMP2_BMPR1B_ACVR2B	BMP2 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	B progenitor cells 5	BMP2	BMPR1B_ACVR2B	9.56014256367766e-09	0	BMP2_BMPR1B_ACVR2B	BMP2 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	B progenitor cells 5	BMP2	BMPR1B_ACVR2B	2.35249513203427e-08	0	BMP2_BMPR1B_ACVR2B	BMP2 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Cytotoxic NK/T cells	BMP2	BMPR1B_ACVR2B	4.82547337893545e-09	0	BMP2_BMPR1B_ACVR2B	BMP2 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Cytotoxic NK/T cells	BMP2	BMPR1B_ACVR2B	2.08994511896257e-09	0	BMP2_BMPR1B_ACVR2B	BMP2 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	Cytotoxic NK/T cells	BMP2	BMPR1B_ACVR2B	5.14279409425263e-09	0	BMP2_BMPR1B_ACVR2B	BMP2 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Naive T cells	BMP2	BMPR1B_ACVR2B	1.63331550934335e-08	0	BMP2_BMPR1B_ACVR2B	BMP2 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Naive T cells	BMP2	BMPR1B_ACVR2B	7.07399938779732e-09	0	BMP2_BMPR1B_ACVR2B	BMP2 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	B progenitor cells 5	BMP2	BMPR1B_BMPR2	5.96267487336752e-09	0	BMP2_BMPR1B_BMPR2	BMP2 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	B progenitor cells 5	BMP2	BMPR1B_BMPR2	2.58247474806979e-09	0	BMP2_BMPR1B_BMPR2	BMP2 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	B progenitor cells 5	BMP2	BMPR1B_BMPR2	6.35477729742265e-09	0	BMP2_BMPR1B_BMPR2	BMP2 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Cytotoxic NK/T cells	BMP2	BMPR1B_BMPR2	1.63507349188209e-09	0	BMP2_BMPR1B_BMPR2	BMP2 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Cytotoxic NK/T cells	BMP2	BMPR1B_BMPR2	7.08161317373958e-10	0	BMP2_BMPR1B_BMPR2	BMP2 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	Cytotoxic NK/T cells	BMP2	BMPR1B_BMPR2	1.74259484607076e-09	0	BMP2_BMPR1B_BMPR2	BMP2 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Naive T cells	BMP2	BMPR1B_BMPR2	4.06617001441213e-09	0	BMP2_BMPR1B_BMPR2	BMP2 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Naive T cells	BMP2	BMPR1B_BMPR2	1.76108551309488e-09	0	BMP2_BMPR1B_BMPR2	BMP2 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	B progenitor cells 5	BMP4	BMPR1B_ACVR2A	1.55483916427685e-09	0	BMP4_BMPR1B_ACVR2A	BMP4 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	B progenitor cells 5	BMP4	BMPR1B_ACVR2A	6.32770222312643e-10	0	BMP4_BMPR1B_ACVR2A	BMP4 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	B progenitor cells 5	BMP4	BMPR1B_ACVR2A	2.40221819559681e-09	0	BMP4_BMPR1B_ACVR2A	BMP4 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Cytotoxic NK/T cells	BMP4	BMPR1B_ACVR2A	4.68143321811703e-10	0	BMP4_BMPR1B_ACVR2A	BMP4 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Cytotoxic NK/T cells	BMP4	BMPR1B_ACVR2A	1.90519479328652e-10	0	BMP4_BMPR1B_ACVR2A	BMP4 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	Cytotoxic NK/T cells	BMP4	BMPR1B_ACVR2A	7.23278908101642e-10	0	BMP4_BMPR1B_ACVR2A	BMP4 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Naive T cells	BMP4	BMPR1B_ACVR2A	1.13748852547024e-09	0	BMP4_BMPR1B_ACVR2A	BMP4 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Naive T cells	BMP4	BMPR1B_ACVR2A	4.62921737328193e-10	0	BMP4_BMPR1B_ACVR2A	BMP4 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	B progenitor cells 5	BMP4	BMPR1B_ACVR2B	6.53203006256341e-09	0	BMP4_BMPR1B_ACVR2B	BMP4 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	B progenitor cells 5	BMP4	BMPR1B_ACVR2B	2.65832932423458e-09	0	BMP4_BMPR1B_ACVR2B	BMP4 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	B progenitor cells 5	BMP4	BMPR1B_ACVR2B	1.00919530859342e-08	0	BMP4_BMPR1B_ACVR2B	BMP4 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Cytotoxic NK/T cells	BMP4	BMPR1B_ACVR2B	1.42796841998769e-09	0	BMP4_BMPR1B_ACVR2B	BMP4 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Cytotoxic NK/T cells	BMP4	BMPR1B_ACVR2B	5.81137857590619e-10	0	BMP4_BMPR1B_ACVR2B	BMP4 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	Cytotoxic NK/T cells	BMP4	BMPR1B_ACVR2B	2.20620359675291e-09	0	BMP4_BMPR1B_ACVR2B	BMP4 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Naive T cells	BMP4	BMPR1B_ACVR2B	4.83335531079994e-09	0	BMP4_BMPR1B_ACVR2B	BMP4 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Naive T cells	BMP4	BMPR1B_ACVR2B	1.96702227961824e-09	0	BMP4_BMPR1B_ACVR2B	BMP4 - (BMPR1B+ACVR2B)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	B progenitor cells 5	BMP4	BMPR1B_BMPR2	1.7644924420766e-09	0	BMP4_BMPR1B_BMPR2	BMP4 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	B progenitor cells 5	BMP4	BMPR1B_BMPR2	7.18092459585137e-10	0	BMP4_BMPR1B_BMPR2	BMP4 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	B progenitor cells 5	BMP4	BMPR1B_BMPR2	2.72613140664541e-09	0	BMP4_BMPR1B_BMPR2	BMP4 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Cytotoxic NK/T cells	BMP4	BMPR1B_BMPR2	4.83855741051606e-10	0	BMP4_BMPR1B_BMPR2	BMP4 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Cytotoxic NK/T cells	BMP4	BMPR1B_BMPR2	1.96913935541299e-10	0	BMP4_BMPR1B_BMPR2	BMP4 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Naive T cells	Cytotoxic NK/T cells	BMP4	BMPR1B_BMPR2	7.47554511593342e-10	0	BMP4_BMPR1B_BMPR2	BMP4 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	Naive T cells	BMP4	BMPR1B_BMPR2	1.20327289959499e-09	0	BMP4_BMPR1B_BMPR2	BMP4 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Cytotoxic NK/T cells	Naive T cells	BMP4	BMPR1B_BMPR2	4.89693890392802e-10	0	BMP4_BMPR1B_BMPR2	BMP4 - (BMPR1B+BMPR2)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
B progenitor cells 5	B progenitor cells 5	VEGFB	FLT1	4.49660556878459e-09	0	VEGFB_VEGFR1	VEGFB - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
Cytotoxic NK/T cells	B progenitor cells 5	VEGFB	FLT1	1.36205682092299e-09	0	VEGFB_VEGFR1	VEGFB - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
Naive T cells	B progenitor cells 5	VEGFB	FLT1	6.94758566906876e-09	0	VEGFB_VEGFR1	VEGFB - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
B progenitor cells 5	Cytotoxic NK/T cells	VEGFB	FLT1	1.36205682092299e-09	0	VEGFB_VEGFR1	VEGFB - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
Cytotoxic NK/T cells	Cytotoxic NK/T cells	VEGFB	FLT1	4.12577580875415e-10	0.03	VEGFB_VEGFR1	VEGFB - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
B progenitor cells 5	Naive T cells	VEGFB	FLT1	6.94758566906876e-09	0	VEGFB_VEGFR1	VEGFB - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
B progenitor cells 5	B progenitor cells 5	PGF	FLT1	3.83431237617108e-09	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
Cytotoxic NK/T cells	B progenitor cells 5	PGF	FLT1	1.21168527670816e-09	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
Naive T cells	B progenitor cells 5	PGF	FLT1	6.66848856973718e-09	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
B progenitor cells 5	Cytotoxic NK/T cells	PGF	FLT1	1.16144303782857e-09	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
Cytotoxic NK/T cells	Cytotoxic NK/T cells	PGF	FLT1	3.67028871244687e-10	0.04	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
B progenitor cells 5	Naive T cells	PGF	FLT1	5.92429394987496e-09	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
B progenitor cells 5	B progenitor cells 5	IGF2	IGF1R	3.29918520313913e-08	0	IGF2_IGF1R	IGF2 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Cytotoxic NK/T cells	B progenitor cells 5	IGF2	IGF1R	2.08079816608064e-08	0	IGF2_IGF1R	IGF2 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Naive T cells	B progenitor cells 5	IGF2	IGF1R	3.19635194103384e-08	0	IGF2_IGF1R	IGF2 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
B progenitor cells 5	Cytotoxic NK/T cells	IGF2	IGF1R	7.64286819814252e-09	0	IGF2_IGF1R	IGF2 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Cytotoxic NK/T cells	Cytotoxic NK/T cells	IGF2	IGF1R	4.82036089726191e-09	0	IGF2_IGF1R	IGF2 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
B progenitor cells 5	Naive T cells	IGF2	IGF1R	4.3944057769349e-08	0	IGF2_IGF1R	IGF2 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Cytotoxic NK/T cells	Naive T cells	IGF2	IGF1R	2.77155395370434e-08	0	IGF2_IGF1R	IGF2 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
B progenitor cells 5	B progenitor cells 5	IGF2	IGF2R	6.66873516670888e-09	0	IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	PMID: 14604834
Cytotoxic NK/T cells	B progenitor cells 5	IGF2	IGF2R	4.20597458454891e-09	0	IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	PMID: 14604834
Naive T cells	B progenitor cells 5	IGF2	IGF2R	6.46086920713178e-09	0	IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	PMID: 14604834
B progenitor cells 5	Cytotoxic NK/T cells	IGF2	IGF2R	3.30220239212306e-09	0	IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	PMID: 14604834
Cytotoxic NK/T cells	Cytotoxic NK/T cells	IGF2	IGF2R	2.08270065334713e-09	0	IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	PMID: 14604834
B progenitor cells 5	Naive T cells	IGF2	IGF2R	6.52067881862064e-09	0	IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	PMID: 14604834
Cytotoxic NK/T cells	Naive T cells	IGF2	IGF2R	4.11259520384667e-09	0	IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	PMID: 14604834
B progenitor cells 5	B progenitor cells 5	IGF2	ITGA6_ITGB4	1.37671081315242e-07	0	IGF2_ITGA6_ITGB4	IGF2 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Cytotoxic NK/T cells	B progenitor cells 5	IGF2	ITGA6_ITGB4	8.68293063293282e-08	0	IGF2_ITGA6_ITGB4	IGF2 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
B progenitor cells 5	Cytotoxic NK/T cells	IGF2	ITGA6_ITGB4	1.08828428494482e-07	0	IGF2_ITGA6_ITGB4	IGF2 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Cytotoxic NK/T cells	Cytotoxic NK/T cells	IGF2	ITGA6_ITGB4	6.86382157085162e-08	0	IGF2_ITGA6_ITGB4	IGF2 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
B progenitor cells 5	Naive T cells	IGF2	ITGA6_ITGB4	6.46293016164846e-07	0	IGF2_ITGA6_ITGB4	IGF2 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Cytotoxic NK/T cells	Naive T cells	IGF2	ITGA6_ITGB4	4.07617710338012e-07	0	IGF2_ITGA6_ITGB4	IGF2 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Cytotoxic NK/T cells	B progenitor cells 5	CCL5	CCR1	2.33748929890217e-05	0	CCL5_CCR1	CCL5 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
B progenitor cells 5	Cytotoxic NK/T cells	CCL5	CCR1	2.34724821509713e-05	0	CCL5_CCR1	CCL5 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
Cytotoxic NK/T cells	Cytotoxic NK/T cells	CCL5	CCR1	0.000823594441731954	0	CCL5_CCR1	CCL5 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
Naive T cells	Cytotoxic NK/T cells	CCL5	CCR1	0.000111614574228313	0	CCL5_CCR1	CCL5 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
