Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
mitotic spindle assembly	11	2.1825396825396823	4.473647257320682E-8	CDC20, TPX2, STAG1, KIFC1, CHEK2, MYBL2, NEK2, KIF11, SMC1A, SMC3, MZT1	483	41	19453	10.805585012371862	9.635772127392084E-5	4.818118096134374E-6	4.603383027782982E-6
mitotic metaphase plate congression	11	2.1825396825396823	5.742685324896551E-8	CENPE, NUDC, CCNB1, PSRC1, KIFC1, CDCA5, CHMP1A, CDCA8, KIF2C, KIF22, SPDL1	483	42	19453	10.54830917874396	1.2368979528765145E-4	5.890354376108176E-6	5.6278316183986195E-6
regulation of cyclin-dependent protein serine/threonine kinase activity	12	2.380952380952381	7.057667165482495E-8	CDKN2D, CCNA2, CCNB2, CDKN1A, CCNB1, CDKN2C, CCNI, CCNF, CDC6, PKMYT1, ACTB, CDKN3	483	54	19453	8.950080515297905	1.5201060124736543E-4	6.910097761113316E-6	6.602126830255898E-6
mitotic spindle midzone assembly	7	1.3888888888888888	9.327551530760354E-8	RACGAP1, PRC1, KIF4A, CDCA8, BIRC5, KIF23, AURKB	483	11	19453	25.629776021080367	2.0089528719013927E-4	8.325128288468352E-6	7.954091930207925E-6
mitotic cytokinesis	13	2.579365079365079	9.662405163031978E-8	PLK1, CKAP2, CDCA8, KIF23, CENPA, AURKB, RACGAP1, KIF4A, STMN1, NUSAP1, BIRC5, KIF20A, CEP55	483	68	19453	7.699701619778347	2.0810656013148243E-4	8.325128288468352E-6	7.954091930207925E-6
aerobic respiration	13	2.579365079365079	9.662405163031978E-8	NDUFA9, MT-ND6, NDUFA6, MT-CO1, NDUFB3, NDUFB1, MT-ND2, UQCRH, MT-ND1, NDUFS6, BLOC1S1, UQCRC1, MT-CO3	483	68	19453	7.699701619778347	2.0810656013148243E-4	8.325128288468352E-6	7.954091930207925E-6
DNA synthesis involved in DNA repair	8	1.5873015873015872	1.3790708911854003E-7	RFC5, CDKN2D, POLD3, RRM1, RFC3, RFC4, RFC2, POLD1	483	18	19453	17.900161030595815	2.970077748202238E-4	1.1284658581531174E-5	1.0781721151713631E-5
sister chromatid cohesion	9	1.7857142857142856	1.4145115213618464E-7	STAG1, RAD21, DDX11, PLK1, MCMBP, ESCO2, KIF22, SMC1A, SMC3	483	26	19453	13.941471571906355	3.046393912201628E-4	1.1284658581531174E-5	1.0781721151713631E-5
DNA-dependent DNA replication	10	1.984126984126984	1.6965544039972552E-7	RFC5, POLD3, RFC3, RFC4, CHRAC1, PSMC3, RFC2, POLD1, RPA1, MCMBP	483	36	19453	11.187600644122384	3.653710852631331E-4	1.3051350665036028E-5	1.2469674869379825E-5
kinetochore organization	6	1.1904761904761905	1.8440566701615692E-7	CDT1, CENPH, NUF2, SMC4, NDC80, SMC2	483	7	19453	34.52173913043478	3.971309661060518E-4	1.3240326891760067E-5	1.2650228757308363E-5
meiotic chromosome condensation	6	1.1904761904761905	1.8440566701615692E-7	NCAPH2, NCAPD2, NCAPD3, SMC4, NCAPH, SMC2	483	7	19453	34.52173913043478	3.971309661060518E-4	1.3240326891760067E-5	1.2650228757308363E-5
spindle organization	8	1.5873015873015872	2.1370178589438768E-7	ASPM, RANBP1, SPAG5, KIF11, KNSTRN, CKAP5, AURKB, AURKA	483	19	19453	16.958047292143405	4.602077679910499E-4	1.4848827316661648E-5	1.4187041140988706E-5
regulation of mitotic nuclear division	8	1.5873015873015872	9.540086402611094E-7	CDCA2, RCC1, PIN1, NEK2, FBXO5, MKI67, PKMYT1, KIF20B	483	23	19453	14.008821676118465	0.002052825656801982	6.421670659757592E-5	6.13546806767926E-5
regulation of DNA replication	10	1.984126984126984	1.927827767823782E-6	CCNA2, PCNA, CHRAC1, DSCC1, ACTL6A, GMNN, NUCKS1, ESCO2, FBXO5, SMC3	483	47	19453	8.56922602528523	0.004143935121412312	1.258345761179523E-4	1.2022634988428314E-4
attachment of spindle microtubules to kinetochore	7	1.3888888888888888	3.2325918230026676E-6	DSN1, NUF2, BUB3, NDC80, SPC24, AURKB, SPC25	483	18	19453	15.662640901771336	0.006938828426251931	2.0479419961022782E-4	1.956668815217497E-4
DNA replication checkpoint	6	1.1904761904761905	3.7358825282332155E-6	CDT1, CDC45, TIMELESS, CDC6, CLSPN, RAD9A	483	11	19453	21.968379446640313	0.00801481471503196	2.2991688473755276E-4	2.1966989266011306E-4
regulation of mitotic cell cycle	11	2.1825396825396823	5.561565399540223E-6	YWHAE, CDC20, CDKN1A, RPA3, PLK1, GMNN, CKS2, BIRC5, FBXO5, DLGAP5, CKS1B	483	67	19453	6.612372918018603	0.011908174914923242	3.327669964058234E-4	3.1793615534038276E-4
attachment of mitotic spindle microtubules to kinetochore	6	1.1904761904761905	6.2739092599569355E-6	CDT1, CENPE, NUF2, KIF2C, MAPRE1, NDC80	483	12	19453	20.13768115942029	0.013423138218262354	3.65243257998574E-4	3.489650069457128E-4
G1/S transition of mitotic cell cycle	11	2.1825396825396823	7.295782732969992E-6	CCNA2, KHDRBS1, CDKN1A, DBF4, NASP, CDK4, CDK2, CDK1, RCC1, EZH2, CDKN3	483	69	19453	6.420709934887628	0.015592334318256795	4.135556843899306E-4	3.95124233275059E-4
regulation of cytokinesis	9	1.7857142857142856	7.543645725694373E-6	PRC1, PLK1, PIN1, CCP110, CALM3, KIF20A, CALM2, AURKB, AURKA	483	42	19453	8.630434782608695	0.016117770127827225	4.166413562345046E-4	3.980723821404877E-4
DNA recombination	12	2.380952380952381	8.839638353060952E-6	XRCC6, RAD51, LIG1, RPA3, NONO, RAD21, ACTL6A, RPA1, RAD54L, HMGB3, BRCA1, HMGB1	483	86	19453	5.619817997977755	0.018860536770469727	4.760145253123323E-4	4.5479939326498604E-4
chromosome organization	8	1.5873015873015872	1.0796784716862558E-5	CENPT, CENPW, PTTG1, RAD54L, CDCA8, HMGB1, SMC3, SMC4	483	32	19453	10.068840579710145	0.022988054038629135	5.672262019541939E-4	5.419459255439791E-4
DNA unwinding involved in DNA replication	7	1.3888888888888888	1.1941743011878765E-5	GINS2, RAD51, CDC45, MCM7, RPA1, HMGA1, MCM3	483	22	19453	12.814888010540184	0.025394658652960422	6.124408201806396E-4	5.851454075820595E-4
regulation of cell cycle	21	4.166666666666666	1.286056683044081E-5	BARD1, HSPA8, CDKN1A, JUN, CCNI, PLK1, CCNF, ACTL6A, YEATS4, BRCA1, FOXM1, ACTB, PPM1G, TFDP1, RHEB, CDK4, BIRC5, E2F2, KIF20B, CLIC1, CDKN3	483	268	19453	3.15590525632706	0.02732166176557793	6.442246733202211E-4	6.155127101638881E-4
DNA strand elongation involved in DNA replication	5	0.992063492063492	2.407686900464283E-5	POLD3, RFC3, RFC4, MCM7, MCM3	483	8	19453	25.17210144927536	0.05054030679469168	0.0011764869533580954	0.0011240529944340578
establishment of mitotic spindle orientation	8	1.5873015873015872	2.4578418245642663E-5	GPSM2, NDE1, PLK1, SPDL1, MAPRE1, CENPA, NDC80, MAD2L1	483	36	19453	8.950080515297907	0.05156551434945844	0.0011764869533580954	0.0011240529944340578
mitotic cell cycle phase transition	7	1.3888888888888888	2.6609958894774566E-5	CCNA2, CCNB2, CCNB1, CCNI, CCNF, CKS2, CKS1B	483	25	19453	11.277101449275362	0.05570684366920986	0.001246040249116183	0.001190506421857523
replication fork processing	8	1.5873015873015872	3.560166478290922E-5	FAM111A, RAD51, PCNA, RFWD3, ALYREF, DDX11, DONSON, NUCKS1	483	38	19453	8.479023646071703	0.07382062264486478	0.0015976247071330513	0.001526421377567233
microtubule-based process	8	1.5873015873015872	3.560166478290922E-5	TUBA1C, TUBA1B, TUBA1A, TUBB, DCTN3, TUBB4B, DYNLL1, GTSE1	483	38	19453	8.479023646071703	0.07382062264486478	0.0015976247071330513	0.001526421377567233
centrosome duplication	6	1.1904761904761905	4.423337999265231E-5	NDE1, CDK2, CCP110, CKAP5, NDC80, SAC3D1	483	17	19453	14.214833759590793	0.0908823887090856	0.001944463275595369	0.001857801959691397
DNA replication initiation	7	1.3888888888888888	5.314670535627352E-5	ORC6, CDC45, MCM7, PRIM1, MCM3, MCM10, CDC6	483	28	19453	10.068840579710146	0.10817115758081619	0.002289560066748263	0.002187518392464218
spindle assembly involved in female meiosis I	4	0.7936507936507936	5.93613742496838E-5	CCNB2, FBXO5, NDC80, AURKA	483	4	19453	40.27536231884058	0.12003064447848266	0.0024639044087062753	0.002354092513053628
cellular response to ionizing radiation	8	1.5873015873015872	5.9481443478517325E-5	BARD1, RAD51AP1, CDKN1A, RAD51, MGMT, BRCA1, RAD9A, RHNO1	483	41	19453	7.858607281724992	0.1202582142708406	0.0024639044087062753	0.002354092513053628
microtubule-based movement	11	2.1825396825396823	7.018032410854107E-5	CENPE, KIFC1, KIF5B, KIF4A, KIF23, KIF2C, KIF20A, KIF11, KIF22, KIF20B, KIF15	483	89	19453	4.977853769744341	0.1403016636043417	0.002852234304335801	0.002725115226705236
mitotic sister chromatid cohesion	6	1.1904761904761905	7.978040969899814E-5	CDC20, CDCA5, RAD21, ESCO2, SMC1A, SMC3	483	19	19453	12.718535469107552	0.15789776920868293	0.00318235189799337	0.003040520058528485
regulation of attachment of spindle microtubules to kinetochore	5	0.992063492063492	1.0696666854154838E-4	SPAG5, RACGAP1, ZWILCH, NEK2, KNSTRN	483	11	19453	18.306982872200262	0.2057988623271212	0.004189203709790822	0.004002498251972847
DNA duplex unwinding	9	1.7857142857142856	1.1071717518390885E-4	RFC5, XRCC6, RFC3, RFC4, RFC2, DSCC1, DDX11, MCM3, CHTF18	483	60	19453	6.041304347826087	0.21218973494395388	0.004258657059752494	0.00406885618800865
mismatch repair	7	1.3888888888888888	1.1754148958427063E-4	POLD3, RNASEH2C, RNASEH2A, PCNA, LIG1, RPA3, RPA1	483	32	19453	8.810235507246377	0.2236868136516491	0.004394163361868378	0.004198323212035804
meiotic cell cycle	10	1.984126984126984	1.1832009052384675E-4	RAD51AP1, RAD51, CDK2, RPA1, RAD54L, NEK2, BUB3, PKMYT1, SMC1A, SMC3	483	77	19453	5.23056653491436	0.224987835632669	0.004394163361868378	0.004198323212035804
mitochondrial electron transport, NADH to ubiquinone	8	1.5873015873015872	1.2727533413483448E-4	NDUFA9, MT-ND6, NDUFA6, NDUFS6, NDUFB3, NDUFB1, MT-ND2, MT-ND1	483	46	19453	7.004410838059233	0.23979604323564452	0.004646628300448025	0.004439536231347277
regulation of chromosome segregation	5	0.992063492063492	1.5731304818649412E-4	CDCA2, KIF2C, MKI67, BUB1, AURKB	483	12	19453	16.781400966183575	0.28743130790867033	0.0054653597708662635	0.005221778276900079
protein localization to kinetochore	5	0.992063492063492	1.5731304818649412E-4	ZWILCH, CDK1, BUB3, SPDL1, AURKB	483	12	19453	16.781400966183575	0.28743130790867033	0.0054653597708662635	0.005221778276900079
positive regulation of mitotic cell cycle spindle assembly checkpoint	5	0.992063492063492	1.5731304818649412E-4	CDCA8, BIRC5, NDC80, AURKB, MAD2L1	483	12	19453	16.781400966183575	0.28743130790867033	0.0054653597708662635	0.005221778276900079
base-excision repair	7	1.3888888888888888	1.6728442481664916E-4	FEN1, LIG1, PARP2, RPA3, RPA1, HMGA1, XRCC1	483	34	19453	8.291986359761296	0.3025753454482374	0.0055597138434920175	0.005311927154088473
DNA biosynthetic process	7	1.3888888888888888	1.6728442481664916E-4	POLD3, CENPF, CHRAC1, LIG1, POLD1, TK1, TYMS	483	34	19453	8.291986359761296	0.3025753454482374	0.0055597138434920175	0.005311927154088473
centrosome cycle	8	1.5873015873015872	1.6777223761698287E-4	UXT, TUBA1A, HAUS8, PLK1, CDK1, BRCA1, CKAP5, HAUS1	483	48	19453	6.712560386473431	0.3033079013379312	0.0055597138434920175	0.005311927154088473
mitochondrial ATP synthesis coupled proton transport	9	1.7857142857142856	1.9605705519275303E-4	NDUFA9, MT-ATP6, MT-ND6, NDUFA6, NDUFS6, NDUFB3, NDUFB1, MT-ND2, MT-ND1	483	65	19453	5.576588628762542	0.34449431327807023	0.006398589346745303	0.006113415448283118
regulation of mitotic metaphase/anaphase transition	7	1.3888888888888888	2.3233625212003005E-4	CENPE, SMARCB1, UBE2C, PLK1, ACTL6A, CDC6, ACTB	483	36	19453	7.831320450885668	0.3937788543561299	0.00746943712039619	0.007136537415865997
microtubule cytoskeleton organization	13	2.579365079365079	2.6856478162885127E-4	TUBB, TUBB4B, TUBG1, KNSTRN, UXT, TUBA1C, TUBA1B, TUBA1A, PRC1, CDK1, TACC3, BIRC5, GAPDH	483	145	19453	3.6108945527236385	0.43929829463463865	0.008507184406302142	0.008128034126355528
metaphase plate congression	5	0.992063492063492	3.0581945013631503E-4	CENPE, CENPF, KIF2C, KIF22, NDC80	483	14	19453	14.384057971014494	0.482546619109795	0.00941050136562318	0.008991091834007661
regulation of G2/M transition of mitotic cell cycle	5	0.992063492063492	3.0581945013631503E-4	CDKN1A, CENPF, CDK4, CDK2, AURKA	483	14	19453	14.384057971014494	0.482546619109795	0.00941050136562318	0.008991091834007661
regulation of G1/S transition of mitotic cell cycle	8	1.5873015873015872	3.5515267508953746E-4	CDKN2D, CDKN1A, SMARCB1, CDKN2C, ID2, ACTL6A, PTPN6, ACTB	483	54	19453	5.966720343531938	0.5347287639011105	0.010774631861167094	0.010294425427243212
interstrand cross-link repair	7	1.3888888888888888	3.655010540563573E-4	RAD51AP1, FANCI, RAD51, RFWD3, FANCA, NUCKS1, FANCG	483	39	19453	7.228911185432925	0.5449887718278555	0.010784784526539639	0.010304125606136758
mitotic G2 DNA damage checkpoint	7	1.3888888888888888	3.655010540563573E-4	CDKN1A, PLK1, CHEK1, CDK1, DONSON, BRCA1, CLSPN	483	39	19453	7.228911185432925	0.5449887718278555	0.010784784526539639	0.010304125606136758
regulation of microtubule polymerization or depolymerization	5	0.992063492063492	4.0889349772261054E-4	STMN1, MAPRE1, SKA3, SKA1, SKA2	483	15	19453	13.42512077294686	0.5856054381275269	0.011902116136412203	0.011371659706934222
double-strand break repair	9	1.7857142857142856	4.822202613429911E-4	MAD2L2, FEN1, PARP2, CHEK2, CDCA5, RAD21, BRCA1, ESCO2, TRIP13	483	74	19453	4.8983548766157465	0.6461750448627337	0.013849365905770704	0.013232123971251676
establishment of mitotic sister chromatid cohesion	4	0.7936507936507936	4.912265622237962E-4	STAG1, RAD21, SMC1A, SMC3	483	7	19453	23.01449275362319	0.6529762244949873	0.013922394934606012	0.013301898224428585
positive regulation of double-strand break repair	7	1.3888888888888888	5.519739727276049E-4	SMARCB1, MGMT, DDX11, ACTL6A, TIMELESS, FOXM1, ACTB	483	42	19453	6.71256038647343	0.6955596766031469	0.015440934250068325	0.014752758907446895
positive regulation of G2/M transition of mitotic cell cycle	6	1.1904761904761905	6.642373279801631E-4	RRM1, CCNB1, CDK4, CDK1, FBXO5, CDC25B	483	29	19453	8.332833583208396	0.7609882582246107	0.018343169288067583	0.017525646422861228
spindle assembly	7	1.3888888888888888	7.124162869585419E-4	HAUS8, TUBB, RCC1, NEK2, MAPRE1, SAC3D1, HAUS1	483	44	19453	6.407444005270092	0.7845640348719736	0.01942461622922404	0.01855889517165417
7-methylguanosine cap hypermethylation	4	0.7936507936507936	7.715163781487105E-4	SNRPD1, SNRPG, SNRPD3, SNRPB	483	8	19453	20.13768115942029	0.8103334368422657	0.020516620722621264	0.01960223094111168
DNA ligation	4	0.7936507936507936	7.715163781487105E-4	TOP2A, XRCC6, LIG1, MGMT	483	8	19453	20.13768115942029	0.8103334368422657	0.020516620722621264	0.01960223094111168
centrosome localization	5	0.992063492063492	8.6413603257515E-4	NDE1, KIF5B, SYNE2, DLGAP5, AURKA	483	18	19453	11.187600644122384	0.8446622821083426	0.022699378221547235	0.021687706768776325
double-strand break repair via homologous recombination	10	1.984126984126984	9.086769217883607E-4	RAD51AP1, FEN1, RMI2, RAD51, PPP4C, RFWD3, RPA3, RPA1, NUCKS1, BRCA1	483	101	19453	3.98765963552877	0.8588849693192351	0.023581808307616012	0.022530808494463206
mitochondrial respiratory chain complex I assembly	8	1.5873015873015872	0.0011054749308353029	NDUFA9, MT-ND6, NDUFA6, NDUFB3, NDUFB1, NDUFAF3, MT-ND2, MT-ND1	483	65	19453	4.9569676700111485	0.9076814466601133	0.028347535726419553	0.02708413580546492
substantia nigra development	7	1.3888888888888888	0.001139456292235035	YWHAE, LDHA, CALM3, DYNLL1, CALM2, ACTB, YWHAH	483	48	19453	5.873490338164252	0.9142044596422447	0.02887516298205018	0.027588247640231787
reciprocal meiotic recombination	6	1.1904761904761905	0.0012237749258119577	PSMC3IP, RAD51, RAD21, RAD54L, MND1, TRIP13	483	33	19453	7.3227931488801055	0.9284690781629317	0.030651292909290195	0.029285218573500103
cell proliferation	13	2.579365079365079	0.0016551161102241496	ATAD5, MCM7, SLC20A1, MCM10, MKI67, AURKB, ZFP36L1, CKS1B, MELK, CKS2, CDK1, TACC3, BUB1	483	178	19453	2.94145904575802	0.9717898575616963	0.04097839197037722	0.039152056952198845
DNA damage checkpoint	6	1.1904761904761905	0.0020724263625840184	CHEK2, CHEK1, DONSON, CLSPN, RAD9A, RHNO1	483	37	19453	6.531139835487661	0.9885370874194896	0.050727345284158815	0.04846651652497625
positive regulation of ubiquitin protein ligase activity	4	0.7936507936507936	0.0021504621026989705	CDC20, UBE2C, UBE2S, PLK1	483	11	19453	14.645586297760211	0.9903140906496659	0.05204601538442227	0.0497264158129717
chromosome condensation	5	0.992063492063492	0.0022672617815237485	NCAPH2, NCAPG2, CDK1, BANF1, SMC2	483	23	19453	8.75551354757404	0.9924727578488601	0.05366683381760609	0.0512749972129217
cytoskeleton-dependent intracellular transport	5	0.992063492063492	0.0022672617815237485	TUBA1C, TUBA1B, TUBA1A, KIF5B, TUBB	483	23	19453	8.75551354757404	0.9924727578488601	0.05366683381760609	0.0512749972129217
RNA splicing	14	2.7777777777777777	0.0023994725398898335	HSPA8, TAF15, FUS, NONO, TTF2, MAGOHB, LSM4, SNRNP40, SNRPD1, SNRPG, SRSF4, SNRNP25, SNRPD3, SNRPB	483	211	19453	2.672298921629233	0.9943419421485539	0.05617895490133371	0.05367515746840519
positive regulation of transcription, DNA-templated	32	6.349206349206349	0.0025206415263081075	MAZ, HMGB2, ILK, YEATS4, BRCA1, CTCF, FOXM1, ACTB, PSMC3IP, PDLIM1, ING2, CHEK2, PIM1, RBBP7, YWHAH, JUN, XRCC6, TAF15, FUS, ACTL6A, ATAD2, HMGA1, AIP, ILF2, HNRNPAB, MLLT11, MAD2L2, CCNA2, PSRC1, ID2, CDK2, HNRNPD	483	728	19453	1.7703455964325532	0.9956445015992588	0.058381310189974875	0.055779357646689086
positive regulation of double-strand break repair via homologous recombination	6	1.1904761904761905	0.002628740087982643	RAD51AP1, FUS, ACTL6A, TIMELESS, YEATS4, ACTB	483	39	19453	6.196209587513935	0.9965513125981407	0.06023729946292142	0.057552628734768935
double-strand break repair via break-induced replication	4	0.7936507936507936	0.002814845120944252	GINS2, CDC45, MCM7, MCM3	483	12	19453	13.425120772946862	0.9976928121781211	0.06315808740118665	0.0603432422802424
