	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
C1QTNF4	1.98379019241643e-26	0.289261638994167	0.411	0.305	3.26769920494834e-22	B progenitor cells 1	C1QTNF4
CMTM8	2.09702275895108e-23	0.29495545349598	0.377	0.284	3.45421588854422e-19	B progenitor cells 1	CMTM8
JCHAIN	4.49815927202377e-19	0.308216013707843	0.422	0.325	7.40936795287756e-15	B progenitor cells 1	JCHAIN
GADD45B	7.64548346338609e-19	0.255161661024796	0.51	0.429	1.25936403608896e-14	B progenitor cells 1	GADD45B
RPS6	3.79731133598925e-190	0.468271785360927	1	0.999	6.25493123264149e-186	B progenitor cells 2	RPS6
RPS3A	2.637856840289e-137	0.373813832803128	1	0.999	4.34507778732404e-133	B progenitor cells 2	RPS3A
RPS8	1.08668430162308e-131	0.340760050125133	1	1	1.78998638163354e-127	B progenitor cells 2	RPS8
RPL26	3.25552483541547e-121	0.439445984686154	0.999	0.997	5.36250050889637e-117	B progenitor cells 2	RPL26
RPS24	3.46899867043885e-119	0.665817711173427	0.999	0.994	5.71413460994687e-115	B progenitor cells 2	RPS24
RPS15A	1.18908291201547e-118	0.511072412487866	1	1	1.95865737267189e-114	B progenitor cells 2	RPS15A
RPS23	1.68487541897125e-116	0.402726195525818	1	0.999	2.77532679012945e-112	B progenitor cells 2	RPS23
RPL27A	7.74779413694732e-113	0.332745339064822	1	0.999	1.27621665023796e-108	B progenitor cells 2	RPL27A
RPLP2	3.49585198809459e-107	0.331951601060577	1	1	5.7583673947894e-103	B progenitor cells 2	RPLP2
RPS28	4.63952315338255e-104	0.301913562102903	1	0.999	7.64222253825174e-100	B progenitor cells 2	RPS28
RPS2	8.42656117868042e-101	0.478324532424278	1	0.998	1.38802315735224e-96	B progenitor cells 2	RPS2
RPL37A	3.59809071606172e-98	0.400610961137254	0.999	0.996	5.92677502749686e-94	B progenitor cells 2	RPL37A
RPS19	4.05968752230326e-97	0.293631396439042	1	1	6.68711728673793e-93	B progenitor cells 2	RPS19
RPS20	6.36256959337003e-93	0.387855877279819	0.998	0.991	1.04804246341991e-88	B progenitor cells 2	RPS20
AIF1	1.83764539844155e-92	0.44033923739481	0.891	0.764	3.02696950031292e-88	B progenitor cells 2	AIF1
RPS12	4.01476027408128e-92	0.511097519542137	0.999	0.999	6.61311312346668e-88	B progenitor cells 2	RPS12
RPS17	7.24922466278515e-92	0.347297134415897	0.999	0.995	1.19409228645397e-87	B progenitor cells 2	RPS17
RPL7	1.57943503451555e-80	0.268786941646698	1	1	2.60164538885401e-76	B progenitor cells 2	RPL7
RPL5	2.04751602273559e-80	0.356887441517272	0.998	0.99	3.37266839265007e-76	B progenitor cells 2	RPL5
RPL32	3.22619463752602e-80	0.27040302750155	1	0.999	5.31418780693287e-76	B progenitor cells 2	RPL32
RPL23	5.93501801198038e-78	0.371803720925087	0.984	0.966	9.77616166933409e-74	B progenitor cells 2	RPL23
RPL35A	7.17324505951337e-78	0.277855248093357	1	0.997	1.18157692620304e-73	B progenitor cells 2	RPL35A
RPL13A	2.40552429592943e-76	0.284091037283604	1	1	3.96237962025497e-72	B progenitor cells 2	RPL13A
RPL9	1.54146407375064e-73	0.317504903420826	0.996	0.995	2.53909962228205e-69	B progenitor cells 2	RPL9
RPL13	1.86837238560461e-73	0.372072518876417	1	0.999	3.07758299356791e-69	B progenitor cells 2	RPL13
RPL30	1.90110205850738e-73	0.386249903796828	0.998	0.989	3.13149531077336e-69	B progenitor cells 2	RPL30
RPL19	2.42305350112507e-73	0.270794831156071	1	0.999	3.99125372705321e-69	B progenitor cells 2	RPL19
RPL22	3.28783466495984e-72	0.355339425950836	0.978	0.953	5.41572126012185e-68	B progenitor cells 2	RPL22
RPS4X	2.5781209360536e-71	0.277706551551329	1	0.999	4.24668080586749e-67	B progenitor cells 2	RPS4X
RPS11	3.41411394772781e-70	0.297373565316908	0.996	0.99	5.62372849469725e-66	B progenitor cells 2	RPS11
RPL10A	5.99831642887965e-70	0.288270887755221	1	0.994	9.88042682165055e-66	B progenitor cells 2	RPL10A
RPL28	4.56411425692478e-69	0.280141012756028	0.999	1	7.5180090040065e-65	B progenitor cells 2	RPL28
RPL6	1.03506387963131e-68	0.263451493880881	0.998	0.996	1.70495722252869e-64	B progenitor cells 2	RPL6
RPL29	4.02847031399097e-67	0.281311487810654	0.999	0.994	6.63569630120593e-63	B progenitor cells 2	RPL29
RPS7	4.3856767418873e-67	0.25109552324819	0.999	0.998	7.22408672923677e-63	B progenitor cells 2	RPS7
RPL7A	2.00466226348942e-65	0.337016243421961	0.993	0.984	3.30207968041977e-61	B progenitor cells 2	RPL7A
RPL27	3.47550426172021e-63	0.276346527861393	0.992	0.984	5.72485061990554e-59	B progenitor cells 2	RPL27
RPL24	7.43426538400427e-63	0.307844476710813	0.979	0.951	1.22457219405318e-58	B progenitor cells 2	RPL24
RPS16	2.24515560351412e-59	0.297227449623931	0.997	0.992	3.69822031010845e-55	B progenitor cells 2	RPS16
RPL12	3.70871519703551e-58	0.330052124194339	0.994	0.98	6.10899567255689e-54	B progenitor cells 2	RPL12
GAPDH	1.67393281822293e-55	0.312832706961411	0.999	0.998	2.75730213817681e-51	B progenitor cells 2	GAPDH
EEF1A1	3.95077866574574e-53	0.270489005689091	1	1	6.50772261821639e-49	B progenitor cells 2	EEF1A1
HLA-DPB11	5.44649515766825e-53	0.28905681208989	0.991	0.968	8.97146682371114e-49	B progenitor cells 2	HLA-DPB1
FKBP4	1.28549247637808e-51	0.258216647103602	0.283	0.142	2.11746320708997e-47	B progenitor cells 2	FKBP4
RPSA	2.90947690383843e-51	0.273976960267589	0.999	0.996	4.79249035600267e-47	B progenitor cells 2	RPSA
MT-ND6	2.56701281825881e-50	0.452877155730194	0.36	0.213	4.22838351423592e-46	B progenitor cells 2	MT-ND6
RPL14	4.05988517041837e-50	0.273409557223314	0.995	0.986	6.68744285271314e-46	B progenitor cells 2	RPL14
RP3-380B8.4	4.51252461049606e-49	0.344473343880555	0.307	0.166	7.43303053840911e-45	B progenitor cells 2	RP3-380B8.4
EEF1B2	1.03981613461773e-47	0.351557605149524	0.847	0.767	1.71278513694233e-43	B progenitor cells 2	EEF1B2
NPM1	2.59211453286281e-46	0.280802869579143	0.975	0.931	4.26973105853162e-42	B progenitor cells 2	NPM1
RPS10	1.99739024766653e-45	0.288962812242874	0.969	0.946	3.29010121595631e-41	B progenitor cells 2	RPS10
TPT1	3.51735401848024e-45	0.331430861641125	0.999	0.996	5.79378553924065e-41	B progenitor cells 2	TPT1
RPL37	3.87235927236882e-45	0.264005290120478	0.995	0.99	6.37855019344591e-41	B progenitor cells 2	RPL37
IFITM2	7.44036202346682e-43	0.330342789442339	0.608	0.475	1.22557643250545e-38	B progenitor cells 2	IFITM2
HSP90AB1	3.74312624439078e-41	0.318225728372495	0.822	0.728	6.16567754976049e-37	B progenitor cells 2	HSP90AB1
C1orf228	1.43371526691904e-39	0.271723521670255	0.81	0.735	2.36161578766904e-35	B progenitor cells 2	C1orf228
LST1	2.33903188659905e-37	0.31990332284932	0.747	0.638	3.85285332360595e-33	B progenitor cells 2	LST1
UQCRB	1.07758670769129e-34	0.304574549621831	0.772	0.714	1.77500082490909e-30	B progenitor cells 2	UQCRB
NRN1	1.07375218738368e-31	0.276677615190581	0.433	0.307	1.76868460305839e-27	B progenitor cells 2	NRN1
UQCRH	2.09515595544531e-31	0.250057229966977	0.74	0.665	3.45114088980951e-27	B progenitor cells 2	UQCRH
MT-ND2	2.09722111317875e-28	0.31283793988239	0.996	0.992	3.45454261762803e-24	B progenitor cells 2	MT-ND2
PDLIM1	3.78718599376677e-26	0.321997675316779	0.434	0.327	6.23825276893263e-22	B progenitor cells 2	PDLIM1
SMAD1	3.53294734687383e-17	0.262426048727761	0.326	0.248	5.81947086977057e-13	B progenitor cells 2	SMAD1
HBA2	0	2.25234321044116	0.962	0.581	0	B progenitor cells 3	HBA2
HBB	0	2.16456827309553	0.979	0.743	0	B progenitor cells 3	HBB
HBA1	0	2.12253586663074	0.951	0.473	0	B progenitor cells 3	HBA1
TCL1B	0	1.71061879009574	0.911	0.365	0	B progenitor cells 3	TCL1B
HBD	0	1.21683176888189	0.826	0.216	0	B progenitor cells 3	HBD
HBG2	0	1.11737593580143	0.783	0.198	0	B progenitor cells 3	HBG2
HBM	0	0.862969122988195	0.614	0.124	0	B progenitor cells 3	HBM
AHSP	0	0.765963337481456	0.586	0.128	0	B progenitor cells 3	AHSP
CA1	0	0.712732131050416	0.588	0.133	0	B progenitor cells 3	CA1
ISG15	2.44059562768001e-243	0.970664468173374	0.742	0.34	4.02014911791451e-239	B progenitor cells 3	ISG15
CD9	3.298665050056e-233	0.834587189055371	0.518	0.147	5.43356107045224e-229	B progenitor cells 3	CD9
IFI27	1.61410283884553e-174	0.39481241917898	0.331	0.072	2.65875019614635e-170	B progenitor cells 3	IFI27
HBG1	1.24079864668234e-165	0.350614946047355	0.3	0.061	2.04384353081515e-161	B progenitor cells 3	HBG1
LGALS3BP	8.53562432331047e-165	0.463523051921505	0.441	0.141	1.4059880385357e-160	B progenitor cells 3	LGALS3BP
ALAS2	9.28280474999134e-161	0.34732918783341	0.295	0.061	1.52906359841857e-156	B progenitor cells 3	ALAS2
MX1	7.81686041502254e-158	0.687474499740403	0.657	0.318	1.28759324756251e-153	B progenitor cells 3	MX1
IFI6	7.0369518156391e-155	0.659272663587251	0.52	0.206	1.15912670307207e-150	B progenitor cells 3	IFI6
AKR1B1	3.59197590134005e-140	0.485326794573872	0.528	0.225	5.91670270468733e-136	B progenitor cells 3	AKR1B1
ALOX5AP	1.35039645164658e-134	0.412837874623088	0.462	0.171	2.22437303515225e-130	B progenitor cells 3	ALOX5AP
HLA-B	6.51912252556035e-125	0.572831117302234	0.988	0.955	1.0738298624103e-120	B progenitor cells 3	HLA-B
PLSCR1	3.88194431908484e-118	0.484660354100166	0.57	0.279	6.39433868239654e-114	B progenitor cells 3	PLSCR1
PRDX2	1.18815309528178e-103	0.466276192428684	0.517	0.251	1.95712577854814e-99	B progenitor cells 3	PRDX2
XAF1	5.1479673364328e-95	0.323796014993762	0.357	0.136	8.47973179657211e-91	B progenitor cells 3	XAF1
IRF7	3.75356206332043e-93	0.483406830045052	0.62	0.36	6.18286743070142e-89	B progenitor cells 3	IRF7
PCCA	1.65483447252282e-87	0.367825515206858	0.386	0.166	2.7258433431396e-83	B progenitor cells 3	PCCA
CLEC11A	6.49638781186084e-86	0.350675298493175	0.428	0.194	1.07008500036972e-81	B progenitor cells 3	CLEC11A
RPLP0	6.12229648853752e-84	0.338243993006662	0.999	0.997	1.0084646775919e-79	B progenitor cells 3	RPLP0
EPSTI1	5.01532778729385e-82	0.371104321580311	0.355	0.149	8.26124793123042e-78	B progenitor cells 3	EPSTI1
CRMP1	1.71301362361222e-74	0.344599304659641	0.459	0.235	2.82167604081404e-70	B progenitor cells 3	CRMP1
VPREB1	4.01020045980938e-74	0.414488825837874	0.774	0.514	6.60560219739801e-70	B progenitor cells 3	VPREB1
OAS1	6.61845411456326e-74	0.291828268806578	0.274	0.102	1.09019176175086e-69	B progenitor cells 3	OAS1
MARCKSL1	3.77091156900655e-72	0.364063185562073	0.958	0.901	6.21144553646759e-68	B progenitor cells 3	MARCKSL1
ARHGAP24	1.00885822511851e-71	0.27087976414815	0.303	0.12	1.66179126841521e-67	B progenitor cells 3	ARHGAP24
SNX14	3.79052117641289e-71	0.31235364697619	0.343	0.153	6.24374648178732e-67	B progenitor cells 3	SNX14
H3F3B	3.30459526700369e-70	0.309138339042763	1	0.999	5.44332932380848e-66	B progenitor cells 3	H3F3B
RPL31	2.05389415489453e-68	0.326384336367802	0.993	0.973	3.38317445194226e-64	B progenitor cells 3	RPL31
PEBP1	7.40178201547851e-68	0.377940089391402	0.854	0.701	1.21922153358962e-63	B progenitor cells 3	PEBP1
LY6E	5.26605670387061e-67	0.446468887038954	0.587	0.373	8.67424860261567e-63	B progenitor cells 3	LY6E
AC090498.1	2.10329077981197e-63	0.340985635622051	0.94	0.88	3.46454057250628e-59	B progenitor cells 3	AC090498.1
CMPK2	2.19839936815337e-62	0.282439777793864	0.26	0.104	3.62120343922223e-58	B progenitor cells 3	CMPK2
STAT1	2.47029471643706e-62	0.267988945637059	0.328	0.149	4.06906945691512e-58	B progenitor cells 3	STAT1
DDX5	6.70514255574533e-61	0.292885003256715	0.994	0.961	1.10447108178237e-56	B progenitor cells 3	DDX5
GYPC	1.55592336411612e-60	0.268927844404837	0.391	0.196	2.56291696537208e-56	B progenitor cells 3	GYPC
NFKBIA	1.01196913932922e-58	0.464611164275148	0.601	0.409	1.6669155663031e-54	B progenitor cells 3	NFKBIA
IFI44L	2.58717119104183e-57	0.427218178716113	0.288	0.128	4.26158838588411e-53	B progenitor cells 3	IFI44L
H1FX	1.07863893402141e-56	0.374435046214805	0.896	0.769	1.77673405212007e-52	B progenitor cells 3	H1FX
QRSL1	2.25653580568774e-56	0.321111061745198	0.524	0.318	3.71696577912884e-52	B progenitor cells 3	QRSL1
FOXO1	2.33586608488541e-56	0.2758317059701	0.36	0.183	3.84763861502325e-52	B progenitor cells 3	FOXO1
AP005530.2	6.07963455721016e-56	0.296712352070439	0.525	0.321	1.00143740426366e-51	B progenitor cells 3	AP005530.2
MSI2	9.1232552670734e-55	0.307467847114548	0.505	0.305	1.50278260759233e-50	B progenitor cells 3	MSI2
AKAP12	1.79345521782781e-54	0.33122374874814	0.441	0.252	2.95417943480597e-50	B progenitor cells 3	AKAP12
BST2	3.9711854610738e-54	0.350767701094445	0.682	0.491	6.54133669148076e-50	B progenitor cells 3	BST2
CD99	3.35492640690109e-52	0.319307582173466	0.921	0.832	5.52623477744748e-48	B progenitor cells 3	CD99
EIF2AK2	4.98601205990482e-52	0.260855194985318	0.376	0.2	8.21295906507522e-48	B progenitor cells 3	EIF2AK2
AK1	4.35843428909709e-51	0.29631277580917	0.445	0.258	7.17921296100072e-47	B progenitor cells 3	AK1
BLCAP	1.04950189929337e-50	0.260706334082647	0.405	0.225	1.72873952851604e-46	B progenitor cells 3	BLCAP
TRAM1	1.40099971889316e-49	0.37223602915943	0.689	0.519	2.30772673696082e-45	B progenitor cells 3	TRAM1
BZRAP1-AS1	2.22348684651181e-49	0.256201705109028	0.37	0.2	3.66252753357425e-45	B progenitor cells 3	BZRAP1-AS1
PAIP2	1.31079248757371e-48	0.331198628442468	0.759	0.595	2.15913738553141e-44	B progenitor cells 3	PAIP2
CD79B1	7.5288511876011e-48	0.37111231913922	0.904	0.799	1.24015236762165e-43	B progenitor cells 3	CD79B
EBF1	2.3948995347016e-45	0.304486659276699	0.644	0.457	3.94487851356047e-41	B progenitor cells 3	EBF1
LGALS9	5.74562912883701e-45	0.286882103937193	0.582	0.396	9.46420030102033e-41	B progenitor cells 3	LGALS9
IFIT3	2.44288848411583e-42	0.256483585786202	0.265	0.131	4.02392591103559e-38	B progenitor cells 3	IFIT3
WASF2	4.4860024786716e-41	0.290358127404345	0.789	0.633	7.38934328286786e-37	B progenitor cells 3	WASF2
CTGF	6.56079024355749e-41	0.318316039209507	0.695	0.511	1.08069336891879e-36	B progenitor cells 3	CTGF
RPS4Y1	7.77875309538401e-41	0.276914672970713	0.87	0.76	1.28131620987165e-36	B progenitor cells 3	RPS4Y1
PNRC1	6.9046191048397e-38	0.259903023127014	0.645	0.467	1.1373288589492e-33	B progenitor cells 3	PNRC1
LUC7L3	5.24478762015358e-37	0.26910892542539	0.714	0.552	8.63921416791697e-33	B progenitor cells 3	LUC7L3
LINC01013	1.04139011214155e-36	0.265561758263187	0.596	0.423	1.71537779271956e-32	B progenitor cells 3	LINC01013
RBM3	4.92107804135862e-34	0.269827038344518	0.717	0.575	8.10599974972591e-30	B progenitor cells 3	RBM3
SMIM3	1.03694314433978e-33	0.259214740391427	0.518	0.351	1.70805274735648e-29	B progenitor cells 3	SMIM3
MYB	1.16309445729182e-27	0.250736741215226	0.613	0.473	1.91584919005109e-23	B progenitor cells 3	MYB
CD79A	7.7963346519257e-27	0.276709728003987	0.933	0.918	1.2842122438652e-22	B progenitor cells 3	CD79A
MIF	1.25463595266397e-22	0.267210954260123	0.805	0.732	2.0666363412281e-18	B progenitor cells 3	MIF
ENO1	1.48066070958333e-20	0.256310789827508	0.739	0.646	2.43894432082565e-16	B progenitor cells 3	ENO1
H1F0	4.84012647295178e-16	0.305530627771559	0.755	0.739	7.97265632624617e-12	B progenitor cells 3	H1F0
HIST1H1C	9.87552516819195e-288	2.59181327764972	0.984	0.491	1.62669650570458e-283	B progenitor cells 4	HIST1H1C
OR2B6	9.73346893028586e-186	0.561552728193646	0.34	0.037	1.60329700219669e-181	B progenitor cells 4	OR2B6
HIST1H3H	3.12949156907753e-167	0.82322906903617	0.559	0.125	5.1548985125845e-163	B progenitor cells 4	HIST1H3H
HIST1H2BK	3.26223090410797e-144	1.14494805674919	0.647	0.203	5.37354674524665e-140	B progenitor cells 4	HIST1H2BK
HIST1H4H	4.77706634741757e-144	0.756651783271346	0.487	0.109	7.86878368746623e-140	B progenitor cells 4	HIST1H4H
HIST1H2AC	3.98246675742098e-141	1.24040150309795	0.899	0.475	6.55991924282384e-137	B progenitor cells 4	HIST1H2AC
HIST1H2BJ	1.48879638170492e-123	1.09763594489609	0.52	0.148	2.45234539994435e-119	B progenitor cells 4	HIST1H2BJ
H2BFS	1.11861915007639e-118	0.892121470326733	0.538	0.16	1.84258946400582e-114	B progenitor cells 4	H2BFS
H3F3B1	3.42033286295901e-59	0.584468992717651	1	0.999	5.63397229186607e-55	B progenitor cells 4	H3F3B
HIST2H2BE1	1.07927258831166e-46	0.697514902947433	0.658	0.408	1.77777780746697e-42	B progenitor cells 4	HIST2H2BE
CD91	9.11337518786122e-42	0.567133279562526	0.46	0.209	1.5011551609445e-37	B progenitor cells 4	CD9
NUSAP1	2.37759791368408e-39	0.572065729312854	0.392	0.174	3.91637928342042e-35	B progenitor cells 4	NUSAP1
HBA11	2.01354039873933e-37	0.877945899520496	0.763	0.561	3.31670374480342e-33	B progenitor cells 4	HBA1
HIST1H2BC	8.00419959839853e-37	0.283714110083409	0.258	0.087	1.31845175784821e-32	B progenitor cells 4	HIST1H2BC
HBB1	4.15677210449789e-36	0.888826617763902	0.913	0.784	6.84703501052893e-32	B progenitor cells 4	HBB
BIRC5	5.19064179870307e-36	0.603257838179082	0.421	0.2	8.5500251708237e-32	B progenitor cells 4	BIRC5
HBG21	2.2692137000741e-33	0.425347000282052	0.559	0.305	3.73784880676205e-29	B progenitor cells 4	HBG2
H1FX1	1.21235124938764e-32	0.608066008126687	0.893	0.789	1.99698497799133e-28	B progenitor cells 4	H1FX
HBA21	4.08935008360094e-32	0.899668537890204	0.794	0.652	6.73597745770747e-28	B progenitor cells 4	HBA2
HBM1	5.1430677679133e-31	0.404847298542857	0.425	0.214	8.47166122730679e-27	B progenitor cells 4	HBM
HBD1	6.97034092150346e-31	0.518245188655655	0.567	0.329	1.14815455659005e-26	B progenitor cells 4	HBD
H1F01	1.47371599620554e-30	0.995476988224738	0.806	0.738	2.42750498894977e-26	B progenitor cells 4	H1F0
MKI67	2.6480649665102e-30	0.294320253317229	0.32	0.135	4.36189261283561e-26	B progenitor cells 4	MKI67
HLA-B1	8.97420718400453e-30	0.444717826026324	0.988	0.96	1.47823140734923e-25	B progenitor cells 4	HLA-B
AURKB	1.94351664488158e-26	0.277154211366924	0.32	0.142	3.20136061744894e-22	B progenitor cells 4	AURKB
TOP2A	5.04113197028521e-26	0.393507956539483	0.348	0.164	8.30375258145379e-22	B progenitor cells 4	TOP2A
CA11	5.08776669696129e-25	0.303064357841479	0.414	0.217	8.38056930323464e-21	B progenitor cells 4	CA1
TCL1B1	1.79248942324527e-23	0.628468730447891	0.66	0.468	2.95258857796961e-19	B progenitor cells 4	TCL1B
HMGB2	3.79968269359832e-23	0.807016746531955	0.814	0.73	6.25883733289515e-19	B progenitor cells 4	HMGB2
TK1	3.07314701952939e-22	0.4008554228937	0.379	0.202	5.06208777056881e-18	B progenitor cells 4	TK1
RP1-34B20.21	3.21199524578673e-21	0.396465183989543	0.311	0.162	5.29079856885991e-17	B progenitor cells 4	RP1-34B20.21
HMGN2	9.90303538939592e-21	0.541935184878112	0.922	0.923	1.6312279893413e-16	B progenitor cells 4	HMGN2
