	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CARHSP1	5.706036079194e-94	0.285382158108186	0.523	0.354	1.069025859437e-89	B cells 1	CARHSP1
ILF2	1.03550541874522e-93	0.270229202406256	0.608	0.446	1.94001940201917e-89	B cells 1	ILF2
HNRNPD	5.2911967195419e-93	0.272056618541099	0.538	0.375	9.91305705406175e-89	B cells 1	HNRNPD
CCND3	6.45774179315097e-93	0.364996995892244	0.725	0.577	1.20985792494683e-88	B cells 1	CCND3
SDC2	7.81508054909598e-93	0.273763421291162	0.403	0.235	1.46415534087313e-88	B cells 1	SDC2
PFN1	1.59752157168993e-92	0.257631196056047	0.973	0.939	2.99295666456108e-88	B cells 1	PFN1
CLIC1	4.30463253114002e-92	0.286091982208924	0.83	0.711	8.06472904709082e-88	B cells 1	CLIC1
DEK	5.15046371910354e-91	0.322043303276716	0.613	0.448	9.64939377774047e-87	B cells 1	DEK
HSP90AA1	5.32806576585878e-91	0.342316344583906	0.862	0.765	9.98213121233642e-87	B cells 1	HSP90AA1
HNRNPF	7.7297554398955e-91	0.280014661716607	0.698	0.546	1.44816968166442e-86	B cells 1	HNRNPF
JUP	8.65409595356936e-91	0.253622298958547	0.583	0.406	1.62134487690122e-86	B cells 1	JUP
H2AFX	8.94052584276754e-91	0.273727959732485	0.275	0.137	1.6750075166425e-86	B cells 1	H2AFX
UBE2I	2.5197430965661e-90	0.26281588990756	0.696	0.536	4.72073869141659e-86	B cells 1	UBE2I
MCM7	6.62793807708666e-90	0.348826814025232	0.451	0.298	1.24174419874219e-85	B cells 1	MCM7
HNRNPK	2.93952449332205e-89	0.250046819307779	0.91	0.831	5.50719913823886e-85	B cells 1	HNRNPK
NASP	4.5384972843933e-89	0.306234713049616	0.603	0.443	8.50287466231086e-85	B cells 1	NASP
ZWINT	9.20591997833238e-88	0.257388335911504	0.302	0.16	1.72472910794057e-83	B cells 1	ZWINT
NONO	1.80786006116808e-86	0.25408118635586	0.656	0.498	3.3870258245984e-82	B cells 1	NONO
NRN1	9.74517610894215e-86	0.271873913891836	0.335	0.187	1.82575874401031e-81	B cells 1	NRN1
LAIR1	4.07741315993238e-85	0.257441856547858	0.524	0.36	7.63903355513331e-81	B cells 1	LAIR1
ANP32B	4.41723816656722e-84	0.327710974252624	0.678	0.538	8.27569570506368e-80	B cells 1	ANP32B
PPIA	6.11928568085703e-84	0.30166614529413	0.877	0.808	1.14644817230857e-79	B cells 1	PPIA
KPNA2	7.87328698240409e-84	0.381586694279731	0.3	0.165	1.47506031615341e-79	B cells 1	KPNA2
YWHAQ	3.56403956756486e-83	0.259502225392194	0.787	0.652	6.67722812983277e-79	B cells 1	YWHAQ
TUBB4B	7.5820512739394e-83	0.444796232341299	0.406	0.269	1.42049730617255e-78	B cells 1	TUBB4B
BUB3	3.07935184488452e-82	0.30176106807602	0.525	0.376	5.76916568139115e-78	B cells 1	BUB3
RBMX	7.60429376650172e-81	0.274001172012257	0.734	0.603	1.4246644371541e-76	B cells 1	RBMX
MZT2B	1.66260534533985e-79	0.259620937052474	0.68	0.536	3.11489111449422e-75	B cells 1	MZT2B
PCNA	1.75526308077287e-78	0.389228093077135	0.45	0.306	3.28848538182798e-74	B cells 1	PCNA
TMPO	4.95204105610464e-77	0.254443531503401	0.42	0.274	9.27764891861204e-73	B cells 1	TMPO
ZCCHC7	8.28497575709884e-77	0.254048938766368	0.709	0.542	1.55219020809247e-72	B cells 1	ZCCHC7
PTTG1	1.1019973974976e-76	0.427430561491342	0.277	0.153	2.06459212421176e-72	B cells 1	PTTG1
NPY	1.14490553534629e-76	0.279969036231099	0.429	0.271	2.14498052047128e-72	B cells 1	NPY
EGFL7	3.74658497036866e-74	0.254156030474415	0.576	0.419	7.01922694198569e-70	B cells 1	EGFL7
JUN	1.1830642140373e-72	0.402574457969658	0.807	0.713	2.21647080499889e-68	B cells 1	JUN
HLA-DPB1	4.13926366487914e-72	0.258147356961806	0.949	0.878	7.75491047615107e-68	B cells 1	HLA-DPB1
SMIM3	2.07449417432512e-70	0.254451985718445	0.384	0.246	3.88656483559811e-66	B cells 1	SMIM3
RANBP1	2.82818198667949e-69	0.262662002339829	0.698	0.57	5.29859895204403e-65	B cells 1	RANBP1
DUT	3.23855494316063e-64	0.321515333483406	0.64	0.513	6.06743268601145e-60	B cells 1	DUT
ZFP36L1	2.1052915792351e-63	0.253499156500141	0.54	0.4	3.94426377369696e-59	B cells 1	ZFP36L1
SLC25A5	4.02199380001166e-63	0.253207890114953	0.676	0.55	7.53520538432184e-59	B cells 1	SLC25A5
TERF2	4.561671128456e-63	0.284557496018213	0.774	0.632	8.54629085916231e-59	B cells 1	TERF2
IER2	2.47736263025362e-59	0.288774230668747	0.798	0.688	4.64133888778016e-55	B cells 1	IER2
VPREB1	6.06171582424149e-59	0.250343751476466	0.603	0.456	1.13566245967164e-54	B cells 1	VPREB1
VIM	8.15633904359322e-58	0.448631824658325	0.555	0.451	1.52809011981719e-53	B cells 1	VIM
KIAA0101	1.24159014430837e-57	0.39439946056111	0.366	0.25	2.32611913536173e-53	B cells 1	KIAA0101
DUSP1	3.64025359887502e-57	0.294240969067175	0.886	0.825	6.82001511749236e-53	B cells 1	DUSP1
YBX3	5.76690013831356e-57	0.288123770584993	0.7	0.585	1.08042874091305e-52	B cells 1	YBX3
CKS2	4.42724808148439e-52	0.258501304643096	0.325	0.217	8.29444928066101e-48	B cells 1	CKS2
HIST1H2AC	4.82269111662388e-50	0.283776120726117	0.489	0.365	9.03531180699484e-46	B cells 1	HIST1H2AC
ARL6IP1	8.48302577725251e-50	0.449198602596456	0.473	0.365	1.58929487936826e-45	B cells 1	ARL6IP1
PPP1R15A	1.78773171053726e-46	0.263170610551636	0.71	0.625	3.34931535969155e-42	B cells 1	PPP1R15A
HSPB1	2.13807792105474e-46	0.309127848235933	0.574	0.462	4.00568898509606e-42	B cells 1	HSPB1
RP11-301G19.1	1.52056823916052e-44	0.252040227245801	0.611	0.485	2.84878459606724e-40	B cells 1	RP11-301G19.1
HN1	8.90242829134341e-43	0.284466966297892	0.49	0.386	1.66786994038319e-38	B cells 1	HN1
FOS	1.24009363002434e-40	0.322758933561683	0.864	0.84	2.32331541585061e-36	B cells 1	FOS
HIST1H1C	1.59274753768965e-24	0.425707496290529	0.519	0.441	2.98401251186156e-20	B cells 1	HIST1H1C
IGLL1	6.94843792490926e-05	0.326988822502669	0.35	0.331	1	B cells 1	IGLL1
MT-ATP6	0	0.833204274053819	0.992	0.982	0	B cells 2	MT-ATP6
MT-ND3	0	0.816811787265488	0.995	0.982	0	B cells 2	MT-ND3
MT-CYB	0	0.792636339368488	0.992	0.979	0	B cells 2	MT-CYB
MT-ND4	0	0.780252840747999	0.998	0.992	0	B cells 2	MT-ND4
MT-ND2	0	0.768881444785608	0.993	0.98	0	B cells 2	MT-ND2
MT-CO2	0	0.766650950095983	1	0.997	0	B cells 2	MT-CO2
MT-CO1	0	0.635353588359456	1	0.991	0	B cells 2	MT-CO1
MT-CO3	9.84844064022311e-276	0.481127232082684	0.999	0.993	1.8451053539458e-271	B cells 2	MT-CO3
MT-ND5	6.51337047353771e-150	0.451882987587962	0.903	0.822	1.22027995821729e-145	B cells 2	MT-ND5
RPS4Y2	3.97992955694486e-99	0.359197392490938	0.835	0.679	7.4563980249362e-95	B cells 2	RPS4Y2
H1F0	1.12031360600429e-96	0.330980524946193	0.792	0.617	2.09890754084903e-92	B cells 2	H1F0
HPS4	1.19778023470174e-73	0.336371066239171	0.689	0.561	2.24404126971372e-69	B cells 2	HPS4
MT-ND1	4.76174768305296e-61	0.393045973111723	0.925	0.888	8.92113428419971e-57	B cells 2	MT-ND1
MME	2.36811700337899e-49	0.254122631464393	0.708	0.602	4.43666720583053e-45	B cells 2	MME
MT-ND4L	2.37667490961689e-45	0.261292375070523	0.618	0.524	4.45270044316724e-41	B cells 2	MT-ND4L
HBA1	7.28374476432883e-38	1.46460532524627	0.717	0.632	1.36460958159701e-33	B cells 2	HBA1
HBM	2.18660887661332e-36	0.954566549628266	0.326	0.231	4.09661173033505e-32	B cells 2	HBM
TCL1B	3.94089354390526e-29	0.406617911074731	0.472	0.4	7.38326405450651e-25	B cells 2	TCL1B
HBA2	7.58442427341723e-28	1.40533845150558	0.754	0.698	1.42094188762472e-23	B cells 2	HBA2
HBB	5.24376028163519e-17	1.71807502125515	0.87	0.829	9.82418488764353e-13	B cells 2	HBB
HBD	3.47972439869648e-12	1.08463625087102	0.422	0.377	6.51926366095785e-08	B cells 2	HBD
AHSP	1.45511953255021e-10	0.819409620115008	0.285	0.241	2.72616644423282e-06	B cells 2	AHSP
CA1	2.59553366128669e-09	0.56773147643501	0.266	0.225	4.86273231442061e-05	B cells 2	CA1
PRDX2	4.63163535505322e-06	0.312505437531698	0.366	0.332	0.086773688376922	B cells 2	PRDX2
SRGN	1.17812833312291e-144	0.679626813399167	0.272	0.061	2.20722343210578e-140	B cells 3	SRGN
RPL12	6.99784491784177e-122	0.962822497714517	0.989	0.975	1.31104624535766e-117	B cells 3	RPL12
NBEAL1	1.03433746183936e-117	1.32328758967453	0.796	0.607	1.93783123475604e-113	B cells 3	NBEAL1
RPS8	7.70980896520432e-113	0.688995715867595	0.999	0.998	1.44443270963103e-108	B cells 3	RPS8
RPS18	1.0875387458045e-109	0.776323192159685	1	1	2.03750384026473e-105	B cells 3	RPS18
RPLP1	1.40190249354666e-108	0.712781101986383	0.999	0.999	2.62646432165968e-104	B cells 3	RPLP1
RPS17	2.98492767493422e-105	0.721695297904861	0.992	0.992	5.59226199898926e-101	B cells 3	RPS17
RPS6	1.94177495924275e-99	0.707220504417297	1	0.998	3.63791538614129e-95	B cells 3	RPS6
RPL36A	8.80298286401003e-99	0.773223900562909	0.973	0.93	1.64923883957228e-94	B cells 3	RPL36A
RPL32	7.60808895374093e-95	0.648143183784629	1	1	1.42537546548336e-90	B cells 3	RPL32
RPL36	2.27602503697012e-94	0.595781097848846	0.995	0.996	4.26413290676352e-90	B cells 3	RPL36
RPL41	3.89469578797262e-94	0.462229792594194	1	1	7.2967125587667e-90	B cells 3	RPL41
RPL35	1.21837953610157e-92	0.56570497084845	0.996	0.993	2.28263406088629e-88	B cells 3	RPL35
RPS12	1.59543069213969e-92	0.724844935866799	0.999	0.997	2.9890394017237e-88	B cells 3	RPS12
RPS15	9.28649696133395e-88	0.489419198254178	1	0.999	1.73982520570591e-83	B cells 3	RPS15
RPL37	5.45254128214256e-86	0.728217663806733	0.985	0.979	1.02153360920941e-81	B cells 3	RPL37
RPS2	2.72034274619261e-85	0.514982710983269	1	0.999	5.09656213499185e-81	B cells 3	RPS2
RPL31	4.11229265531963e-85	0.669493813994422	0.987	0.973	7.70438028974133e-81	B cells 3	RPL31
HSP90AB1	6.92964249141777e-85	0.596350761953897	0.854	0.713	1.29826852076712e-80	B cells 3	HSP90AB1
RPL37A	2.34538706053095e-83	0.667488073374838	0.994	0.992	4.39408265790474e-79	B cells 3	RPL37A
RPL26	1.22036661357881e-80	0.684690583613987	0.998	0.996	2.2863568505399e-76	B cells 3	RPL26
RPS29	1.51181390900374e-80	0.504409161122561	1	1	2.8323833585185e-76	B cells 3	RPS29
AC090498.1	1.96191947039488e-79	0.628170941907164	0.923	0.856	3.6756561277848e-75	B cells 3	AC090498.1
RPS28	9.02015923907411e-78	0.441096433688173	1	0.999	1.68992683344053e-73	B cells 3	RPS28
RPS21	6.64489766082569e-75	0.629521479842171	0.969	0.948	1.24492157675569e-70	B cells 3	RPS21
RPL28	9.3937902629833e-74	0.466001465850571	0.999	0.997	1.75992660576992e-69	B cells 3	RPL28
RPL22	2.85832656610599e-73	0.516497284491721	0.962	0.938	5.35507482159957e-69	B cells 3	RPL22
ANKRD28	3.10426960175711e-73	0.614130450413622	0.335	0.144	5.81584909889195e-69	B cells 3	ANKRD28
RPL10A	8.73225224104405e-73	0.473182588458354	0.999	0.992	1.6359874573596e-68	B cells 3	RPL10A
RPL21	1.68244796819792e-72	0.450846778308091	1	1	3.15206626841881e-68	B cells 3	RPL21
PPA1	8.59292319388735e-72	0.368679643909207	0.358	0.152	1.6098841603748e-67	B cells 3	PPA1
RPL18A	1.56486518001836e-70	0.395257093486522	1	1	2.9317749147644e-66	B cells 3	RPL18A
RPL35A	9.1870006679987e-69	0.494248391456694	0.997	0.995	1.72118457514956e-64	B cells 3	RPL35A
RPS27A	2.31550747126947e-68	0.413607383289341	1	1	4.33810324742335e-64	B cells 3	RPS27A
SNHG25	1.76388379539951e-67	0.599116527757541	0.462	0.246	3.30463629068097e-63	B cells 3	SNHG25
RPL17	2.37713511656398e-66	0.661891582880938	0.887	0.797	4.45356264088261e-62	B cells 3	RPL17
RPS23	1.48973129693419e-65	0.556178641252552	0.999	0.998	2.79101158480621e-61	B cells 3	RPS23
HINT1	1.54154839638426e-65	0.738832039365303	0.771	0.667	2.8880909206259e-61	B cells 3	HINT1
RPS24	6.17776422042244e-65	0.583892882052657	0.995	0.991	1.15740412669614e-60	B cells 3	RPS24
RPS5	1.12755525384352e-63	0.37270309218323	0.998	0.993	2.11247476807583e-59	B cells 3	RPS5
RPL39	1.91891847013924e-63	0.475772801915361	1	1	3.59509375380586e-59	B cells 3	RPL39
RPS4X	8.02101709257707e-63	0.4754207548683	1	0.998	1.50273755229431e-58	B cells 3	RPS4X
RPLP0	1.00711570831885e-61	0.395770575347173	0.997	0.989	1.88683127953537e-57	B cells 3	RPLP0
RPL5	7.00057257262992e-60	0.493523958827647	0.988	0.977	1.31155727148222e-55	B cells 3	RPL5
RPS15A	3.47113823893979e-59	0.470018572696747	0.998	1	6.5031774906537e-55	B cells 3	RPS15A
RPL10	5.96395774755319e-59	0.356134491475295	1	1	1.11734748400409e-54	B cells 3	RPL10
RPL14	1.10314744961456e-58	0.521129121812828	0.984	0.975	2.06674674685288e-54	B cells 3	RPL14
RPL34	1.34559470451168e-58	0.532737938368721	1	1	2.52097167890264e-54	B cells 3	RPL34
RPL9	1.72034182950279e-58	0.420360388234907	0.998	0.992	3.22306041757348e-54	B cells 3	RPL9
RPL38	7.3893920634062e-58	0.494088479407879	0.967	0.946	1.38440260307915e-53	B cells 3	RPL38
RPL29	5.98303034504669e-57	0.446821012562851	0.994	0.986	1.1209207351445e-52	B cells 3	RPL29
NACA2	1.47957766496219e-56	0.463066449258892	0.323	0.15	2.77198875530666e-52	B cells 3	NACA2
RPS14	1.50264970763079e-56	0.469859915494288	0.999	0.998	2.81521422724628e-52	B cells 3	RPS14
RPL24	2.02571893355201e-56	0.453643850694264	0.961	0.934	3.79518442200968e-52	B cells 3	RPL24
EEF1B2	1.10731975856936e-54	0.574329254600031	0.845	0.75	2.07456356767969e-50	B cells 3	EEF1B2
RPL11	5.09959990724962e-54	0.356553731203927	1	1	9.55410042623216e-50	B cells 3	RPL11
SNHG8	1.54768493347716e-51	0.469127501011388	0.598	0.403	2.89958772286946e-47	B cells 3	SNHG8
RPL23A	3.13551140915524e-51	0.361909719853753	0.998	0.993	5.87438062505234e-47	B cells 3	RPL23A
RPS3	4.52743156762328e-51	0.425492895459819	1	0.999	8.48214304194221e-47	B cells 3	RPS3
RPL13	5.32438387876696e-50	0.367059588716078	0.999	1	9.97523319686989e-46	B cells 3	RPL13
RPL6	1.18571516512978e-48	0.347831838482307	0.993	0.992	2.22143736187065e-44	B cells 3	RPL6
RPS3A	3.28668482483158e-48	0.435376299196188	0.999	0.999	6.15760401932197e-44	B cells 3	RPS3A
RPL19	1.27768724382972e-47	0.334198384008044	0.999	0.999	2.39374705131497e-43	B cells 3	RPL19
RPS13	1.54975566200013e-47	0.324691099305334	0.999	0.995	2.90346723275725e-43	B cells 3	RPS13
RPL8	2.58433201576325e-47	0.307199533545865	0.997	0.995	4.84174603153245e-43	B cells 3	RPL8
RPL7A	6.35371789408044e-47	0.483272453207774	0.98	0.963	1.19036904745597e-42	B cells 3	RPL7A
RPS26	2.59121279719611e-44	0.525781642220783	0.96	0.919	4.85463717554691e-40	B cells 3	RPS26
RPL3	3.99056652030411e-44	0.342703117259218	1	0.999	7.47632637578976e-40	B cells 3	RPL3
RPS7	2.68936904863661e-43	0.367907072135186	0.991	0.992	5.0385329126207e-39	B cells 3	RPS7
RPLP2	6.82302916415374e-43	0.289998651105801	0.999	0.999	1.2782945139042e-38	B cells 3	RPLP2
LDHB	1.22433495266468e-42	0.503975070106008	0.682	0.555	2.29379153381727e-38	B cells 3	LDHB
RPL23	6.96359058859932e-42	0.358967135740653	0.98	0.944	1.30462869677408e-37	B cells 3	RPL23
RPS27	4.02675237234033e-41	0.269004836642628	1	1	7.54412056957961e-37	B cells 3	RPS27
RPL27	5.19449637248255e-41	0.307174202072417	0.987	0.971	9.73188895384606e-37	B cells 3	RPL27
ZNF90	4.34125429585852e-40	0.683613458509973	0.466	0.311	8.13333992329094e-36	B cells 3	ZNF90
NPM1	2.86383114275869e-39	0.42247975559065	0.936	0.88	5.36538764595841e-35	B cells 3	NPM1
MIF	5.85126634376886e-39	0.438167758962031	0.804	0.711	1.0962347495051e-34	B cells 3	MIF
RPL30	7.60901844366775e-39	0.335836461595611	0.99	0.985	1.42554960542115e-34	B cells 3	RPL30
RPS20	4.85485562939244e-38	0.373607491924484	0.981	0.98	9.09557202166674e-34	B cells 3	RPS20
RPS9	4.76738411462948e-37	0.295248110409185	0.998	0.996	8.93169413875833e-33	B cells 3	RPS9
NME1	8.0408413163675e-37	0.274886307754714	0.402	0.234	1.50645162062145e-32	B cells 3	NME1
NCL	1.54889458320199e-36	0.430729362877633	0.766	0.648	2.90185400162892e-32	B cells 3	NCL
TXN	1.89672281803834e-36	0.409566668971249	0.541	0.386	3.55351019959482e-32	B cells 3	TXN
RPS25	2.73543438327611e-36	0.328287232683595	0.991	0.988	5.12483631706779e-32	B cells 3	RPS25
RPS10	2.80394669451765e-36	0.354445620431719	0.956	0.909	5.25319413217882e-32	B cells 3	RPS10
TIPIN	6.8944184807851e-36	0.307082053467266	0.283	0.146	1.29166930237509e-31	B cells 3	TIPIN
NAP1L1	7.80921684957554e-36	0.439272327461584	0.793	0.696	1.46305677676798e-31	B cells 3	NAP1L1
DDX21	1.99976342633806e-35	0.276909300060484	0.417	0.249	3.74655677924436e-31	B cells 3	DDX21
ZFAS1	1.72058530957268e-34	0.400630755390211	0.741	0.628	3.22351657748442e-30	B cells 3	ZFAS1
RPL27A	1.28900389451682e-33	0.304258328293196	0.997	0.998	2.41494879637727e-29	B cells 3	RPL27A
CALR	3.56196888521297e-32	0.376776743698126	0.532	0.375	6.6733487064465e-28	B cells 3	CALR
HSPD1	4.02518593221957e-32	0.352736699081225	0.538	0.387	7.54118584401337e-28	B cells 3	HSPD1
CH17-373J23.1	1.02181115722489e-31	0.31130820151011	0.253	0.128	1.91436320306083e-27	B cells 3	CH17-373J23.1
EIF3E	2.44538606628234e-31	0.378867029101998	0.851	0.822	4.58143079517997e-27	B cells 3	EIF3E
FABP5	3.97746626171643e-31	0.320961995527866	0.413	0.26	7.45178304132573e-27	B cells 3	FABP5
RPL7	4.9577123778242e-31	0.375232408549085	0.999	0.999	9.28827413985364e-27	B cells 3	RPL7
NACA	7.05206739083148e-30	0.298932607414362	0.956	0.93	1.32120482567228e-25	B cells 3	NACA
RPS11	1.81184852903132e-29	0.267607264491894	0.989	0.981	3.39449821914017e-25	B cells 3	RPS11
SNRPE	2.24021593883738e-29	0.295337448721877	0.662	0.521	4.19704456141184e-25	B cells 3	SNRPE
HSPE1	1.39093263706841e-28	0.312978739566108	0.544	0.397	2.60591229554767e-24	B cells 3	HSPE1
RPS16	1.85801000587827e-28	0.289485733221621	0.99	0.983	3.48098174601294e-24	B cells 3	RPS16
RP11-620J15.3	1.51753747702154e-27	0.330161546154351	0.337	0.21	2.84310646319986e-23	B cells 3	RP11-620J15.3
SERPINB1	4.25329445868166e-27	0.435141035526693	0.386	0.264	7.96854716834009e-23	B cells 3	SERPINB1
ATP5G2	1.9197972839545e-24	0.265504908869013	0.906	0.865	3.59674021148875e-20	B cells 3	ATP5G2
ENO1	3.78817397571868e-24	0.317042731285845	0.728	0.629	7.09714394350895e-20	B cells 3	ENO1
RPL22L1	8.6096696072738e-24	0.272830327589552	0.522	0.387	1.61302160092275e-19	B cells 3	RPL22L1
NDUFB1	1.34946940026931e-22	0.296172111850894	0.612	0.497	2.52823092140455e-18	B cells 3	NDUFB1
SNRPF	1.62569833244621e-22	0.257052231571117	0.564	0.432	3.04574582583798e-18	B cells 3	SNRPF
BTF3	5.70087214255213e-22	0.269252534277891	0.93	0.895	1.06805839590714e-17	B cells 3	BTF3
RSL24D1	3.62745105087349e-21	0.28257968954608	0.611	0.507	6.79602954381148e-17	B cells 3	RSL24D1
SET	4.71503389060058e-21	0.312811557670832	0.751	0.657	8.83361599404019e-17	B cells 3	SET
