Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
positive regulation of DNA binding	GOTERM_BP_DIRECT	4	1.7241379310344829	0.006096380883749981	HMGB2, CALM3, HMGB1, CALM2	221	33	19414	10.648018648018649	0.9998491978897528	0.13093570286143616	0.1265681464074063
DNA biosynthetic process	GOTERM_BP_DIRECT	4	1.7241379310344829	0.006096380883749981	LIG1, POLE3, TK1, TYMS	221	33	19414	10.648018648018649	0.9998491978897528	0.13093570286143616	0.1265681464074063
activation of innate immune response	GOTERM_BP_DIRECT	4	1.7241379310344829	0.006096380883749981	XRCC6, HSP90AA1, XRCC5, HMGB1	221	33	19414	10.648018648018649	0.9998491978897528	0.13093570286143616	0.1265681464074063
cellular response to leukemia inhibitory factor	GOTERM_BP_DIRECT	6	2.586206896551724	0.0063681833622269614	HELLS, XRCC5, CACYBP, MYBL2, SLC25A5, SRM	221	103	19414	5.117251680358477	0.9998982629239576	0.1325318899017641	0.12811109023860587
positive regulation by host of viral genome replication	GOTERM_BP_DIRECT	3	1.293103448275862	0.00657287857139081	HSPA8, NUCKS1, PPIB	221	11	19414	23.95804195804196	0.9999243651585052	0.1325318899017641	0.12811109023860587
cotranslational protein targeting to membrane	GOTERM_BP_DIRECT	3	1.293103448275862	0.00657287857139081	SEC61A1, SSR2, SSR1	221	11	19414	23.95804195804196	0.9999243651585052	0.1325318899017641	0.12811109023860587
chaperone mediated protein folding requiring cofactor	GOTERM_BP_DIRECT	4	1.7241379310344829	0.006631199494737328	HSPA8, SDF2L1, HSPA5, PTGES3	221	34	19414	10.334841628959275	0.9999304924427492	0.1325318899017641	0.12811109023860587
fibroblast proliferation	GOTERM_BP_DIRECT	4	1.7241379310344829	0.006631199494737328	PTGES3, CDK1, CKS2, CKS1B	221	34	19414	10.334841628959275	0.9999304924427492	0.1325318899017641	0.12811109023860587
double-strand break repair via nonhomologous end joining	GOTERM_BP_DIRECT	4	1.7241379310344829	0.00778234400266775	XRCC6, XRCC5, HMGB2, HMGB1	221	36	19414	9.760683760683762	0.9999868960502042	0.1502102389831098	0.14519975151181774
positive regulation of T cell differentiation	GOTERM_BP_DIRECT	4	1.7241379310344829	0.00778234400266775	XBP1, MDK, CD27, ACTB	221	36	19414	9.760683760683762	0.9999868960502042	0.1502102389831098	0.14519975151181774
cellular response to X-ray	GOTERM_BP_DIRECT	3	1.293103448275862	0.00782888667389384	XRCC6, XRCC5, NUCKS1	221	12	19414	21.961538461538463	0.9999877513968868	0.1502102389831098	0.14519975151181774
positive regulation of DNA-directed DNA polymerase activity	GOTERM_BP_DIRECT	3	1.293103448275862	0.00918368193038685	GINS2, RFC4, PCNA	221	13	19414	20.272189349112423	0.999998285475958	0.1738857670766668	0.16808554691010671
chaperone-mediated protein folding	GOTERM_BP_DIRECT	4	1.7241379310344829	0.009717261269773188	FKBP11, FKBP2, PPIB, PDIA4	221	39	19414	9.009861932938856	0.9999992102277524	0.18159920736628074	0.17554169384746107
base-excision repair, gap-filling	GOTERM_BP_DIRECT	3	1.293103448275862	0.010634884988199408	FEN1, PCNA, LIG1	221	14	19414	18.824175824175825	0.9999997919645002	0.1961999935643455	0.1896554489562228
cellular respiration	GOTERM_BP_DIRECT	4	1.7241379310344829	0.01190799671794811	COX8A, UQCRQ, CYCS, COX7A2	221	42	19414	8.36630036630037	0.9999999673835771	0.21638575758468248	0.20916788658811208
kinetochore assembly	GOTERM_BP_DIRECT	3	1.293103448275862	0.012180157306712494	CENPW, CENPH, CENPK	221	15	19414	17.569230769230767	0.9999999780580044	0.21638575758468248	0.20916788658811208
regulation of synaptic vesicle endocytosis	GOTERM_BP_DIRECT	3	1.293103448275862	0.012180157306712494	CALM3, CALM2, ACTB	221	15	19414	17.569230769230767	0.9999999780580044	0.21638575758468248	0.20916788658811208
endoplasmic reticulum organization	GOTERM_BP_DIRECT	4	1.7241379310344829	0.012696047391628749	SEC61A1, LMAN1, REEP5, LMAN2	221	43	19414	8.171735241502683	0.9999999896531032	0.22011580959703334	0.2127735171295854
positive regulation of protein import into nucleus	GOTERM_BP_DIRECT	4	1.7241379310344829	0.012696047391628749	XBP1, HSP90AA1, CDK1, RAN	221	43	19414	8.171735241502683	0.9999999896531032	0.22011580959703334	0.2127735171295854
protein stabilization	GOTERM_BP_DIRECT	8	3.4482758620689653	0.015112682244494934	HSP90AA1, PTGES3, PIM2, CALR, PFN1, PPIB, GAPDH, HSPD1	221	227	19414	3.0958996950186384	0.9999999996957444	0.2588946398789072	0.2502588214534816
regulation of DNA replication	GOTERM_BP_DIRECT	4	1.7241379310344829	0.01614141128307992	PCNA, POLE3, GMNN, NUCKS1	221	47	19414	7.476268412438626	0.9999999999323718	0.2732645980747295	0.2641494481736961
positive regulation of autophagy	GOTERM_BP_DIRECT	5	2.155172413793104	0.017191339115799332	XBP1, PIM2, HMGB1, SVIP, MTDH	221	87	19414	5.048629531388152	0.9999999999854504	0.2870987572413172	0.2775221482436916
mitotic chromosome condensation	GOTERM_BP_DIRECT	3	1.293103448275862	0.017357603808196384	NUSAP1, SMC4, SMC2	221	18	19414	14.64102564102564	0.9999999999885943	0.2870987572413172	0.2775221482436916
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	3	1.293103448275862	0.0192565627583274	XBP1, TMBIM6, HERPUD1	221	19	19414	13.870445344129553	0.9999999999992948	0.3148885660140128	0.3043849863276525
retrograde vesicle-mediated transport, Golgi to ER	GOTERM_BP_DIRECT	4	1.7241379310344829	0.020060862081863588	TMED10, LMAN2, KDELR2, COPE	221	51	19414	6.889894419306184	0.9999999999997836	0.32435483748091803	0.31353549613339604
microtubule cytoskeleton organization	GOTERM_BP_DIRECT	6	2.586206896551724	0.020577869433255833	TUBA1B, TUBB, CDK1, BIRC5, TUBB4B, GAPDH	221	138	19414	3.819397993311037	0.9999999999998986	0.3290172679383904	0.318042404240654
ERAD pathway	GOTERM_BP_DIRECT	3	1.293103448275862	0.021238489313660496	ERLEC1, XBP1, VCP	221	20	19414	13.176923076923075	0.9999999999999616	0.33521684162768034	0.32403518186525593
cellular response to lipopolysaccharide	GOTERM_BP_DIRECT	7	3.0172413793103448	0.02143151454464669	XBP1, CDK4, GSTP1, HMGB2, VIM, HMGB1, B2M	221	190	19414	3.2364372469635625	0.9999999999999712	0.33521684162768034	0.32403518186525593
DNA replication preinitiation complex assembly	GOTERM_BP_DIRECT	2	0.8620689655172413	0.022536219117668618	CDT1, GMNN	221	2	19414	87.84615384615385	0.9999999999999944	0.3413644137928963	0.3299776925544953
negative regulation of DNA duplex unwinding	GOTERM_BP_DIRECT	2	0.8620689655172413	0.022536219117668618	TOP2A, SUB1	221	2	19414	87.84615384615385	0.9999999999999944	0.3413644137928963	0.3299776925544953
negative regulation of DNA-dependent DNA replication	GOTERM_BP_DIRECT	2	0.8620689655172413	0.022536219117668618	CDT1, GMNN	221	2	19414	87.84615384615385	0.9999999999999944	0.3413644137928963	0.3299776925544953
positive regulation of fibroblast proliferation	GOTERM_BP_DIRECT	4	1.7241379310344829	0.02445792572157189	CDK4, S100A6, E2F1, MIF	221	55	19414	6.388811188811189	0.9999999999999996	0.3666141157639787	0.3543851529031928
blastocyst development	GOTERM_BP_DIRECT	3	1.293103448275862	0.02544285701279951	RRM2, NASP, DAD1	221	22	19414	11.97902097902098	1.0	0.3735946045042704	0.3611327969877972
chaperone-mediated protein complex assembly	GOTERM_BP_DIRECT	3	1.293103448275862	0.02544285701279951	HSP90AA1, PTGES3, HSPD1	221	22	19414	11.97902097902098	1.0	0.3735946045042704	0.3611327969877972
protein transport	GOTERM_BP_DIRECT	11	4.741379310344827	0.025995780358785102	SEC61A1, LMAN1, XBP1, SERP1, NASP, LMAN2, TMED2, KDELR2, COPE, RAN, HSP90B1	221	432	19414	2.2368233618233617	1.0	0.37785785794234095	0.3652538432229301
innate immune response	GOTERM_BP_DIRECT	14	6.0344827586206895	0.02729441507799643	XRCC6, XRCC5, IFI6, HMGB2, HMGB3, CYBA, HMGB1, MIF, JCHAIN, ISG20, IGKC, IGLC2, IGHA1, B2M	221	627	19414	1.9614771193718563	1.0	0.3883815141374487	0.3754264671057617
chromosome condensation	GOTERM_BP_DIRECT	3	1.293103448275862	0.027661195232804917	CDK1, BANF1, SMC2	221	23	19414	11.458193979933114	1.0	0.3883815141374487	0.3754264671057617
regulation of protein complex assembly	GOTERM_BP_DIRECT	3	1.293103448275862	0.027661195232804917	HSPA8, HSP90AA1, DUT	221	23	19414	11.458193979933114	1.0	0.3883815141374487	0.3754264671057617
mitotic spindle organization	GOTERM_BP_DIRECT	4	1.7241379310344829	0.028069268568655083	CENPH, STMN1, BIRC5, RAN	221	58	19414	6.0583554376657816	1.0	0.3883815141374487	0.3754264671057617
G2/M transition of mitotic cell cycle	GOTERM_BP_DIRECT	4	1.7241379310344829	0.028069268568655083	CDK1, BIRC5, CALM3, CALM2	221	58	19414	6.0583554376657816	1.0	0.3883815141374487	0.3754264671057617
mitotic cell cycle phase transition	GOTERM_BP_DIRECT	3	1.293103448275862	0.029954294119497637	CCND3, CKS2, CKS1B	221	24	19414	10.980769230769232	1.0	0.4066436720561991	0.3930794633983133
U2-type prespliceosome assembly	GOTERM_BP_DIRECT	3	1.293103448275862	0.029954294119497637	SNRPD1, SNRPG, SNRPB	221	24	19414	10.980769230769232	1.0	0.4066436720561991	0.3930794633983133
positive regulation of nitric-oxide synthase activity	GOTERM_BP_DIRECT	3	1.293103448275862	0.032320190936724336	DHFR, CALM3, CALM2	221	25	19414	10.541538461538464	1.0	0.4318799738171215	0.4174739705209284
deoxyribonucleotide biosynthetic process	GOTERM_BP_DIRECT	2	0.8620689655172413	0.033614007691117165	RRM1, RRM2	221	3	19414	58.564102564102576	1.0	0.4318799738171215	0.4174739705209284
ribonucleoside diphosphate metabolic process	GOTERM_BP_DIRECT	2	0.8620689655172413	0.033614007691117165	RRM1, RRM2	221	3	19414	58.564102564102576	1.0	0.4318799738171215	0.4174739705209284
2'-deoxyribonucleotide biosynthetic process	GOTERM_BP_DIRECT	2	0.8620689655172413	0.033614007691117165	RRM1, RRM2	221	3	19414	58.564102564102576	1.0	0.4318799738171215	0.4174739705209284
establishment of protein localization to mitochondrial membrane	GOTERM_BP_DIRECT	2	0.8620689655172413	0.033614007691117165	CALM3, CALM2	221	3	19414	58.564102564102576	1.0	0.4318799738171215	0.4174739705209284
positive regulation of organelle organization	GOTERM_BP_DIRECT	2	0.8620689655172413	0.033614007691117165	LMAN1, TMED9	221	3	19414	58.564102564102576	1.0	0.4318799738171215	0.4174739705209284
mitochondrial electron transport, cytochrome c to oxygen	GOTERM_BP_DIRECT	3	1.293103448275862	0.0347569574840388	COX8A, CYCS, COX7A2	221	26	19414	10.136094674556212	1.0	0.442612936456034	0.4278489191176811
